task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	39/d188d5	13092426	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-24 17:26:15.840	1h 24m 33s	1h 23m 47s	98.8%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5072862	5027373	4829634560	4980105216	4936052736	4980928512	10832501957	3609196349	41493	372723	2713661440	3609591808
5	9a/4617d1	13103480	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-24 18:50:49.021	2h 7m	2h 6m 14s	866.9%	5.8 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7619814	7573653	6185426944	7531999232	6276308992	7623667712	141981158879	58984488863	28775360	96239746	7344926720	11815456768
6	21/84c5ca	13128722	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-24 20:57:49.011	5m 2s	4m 19s	423.0%	726.4 MB	1.2 GB	1.1 GB	1.9 GB	3.1 GB	185 MB	301842	259076	761708544	1333485568	1151909888	1987829760	3364870219	194006049	355072	269562	1469698048	194142208
4	da/38e5e6	13103482	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-24 18:50:49.204	2h 14m 2s	2h 13m 32s	793.3%	5.2 GB	6.1 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	8041663	8011874	5621796864	6571593728	5631172608	6636670976	145701778339	62045642967	29289674	96851495	7431745536	12521877504
7	55/1e22b8	13130109	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-24 21:04:51.008	5m 1s	4m 26s	422.0%	880.3 MB	1.4 GB	1 GB	1.6 GB	3.3 GB	183.1 MB	300912	265532	923021312	1508605952	1088536576	1709957120	3523559448	191943731	365496	266321	1545326592	192073728
2	a7/ee81d2	13103481	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-24 18:50:49.140	2h 21m 31s	2h 20m 41s	794.1%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.5 GB	75 GB	8490822	8441141	6833733632	8177336320	6838063104	8181805056	169061398996	80487711486	34737754	114982781	8156786688	18290896896
8	b6/557efb	13131600	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-24 21:12:20.047	6m 1s	5m 29s	386.0%	846.8 MB	1.4 GB	1 GB	1.5 GB	4.6 GB	185.2 MB	360968	329367	887959552	1458282496	1108553728	1659621376	4972998348	194180671	457899	269563	2188541952	194281472
3	f0/1565d1	13103483	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-24 18:50:49.269	2h 35m 3s	2h 34m 32s	794.1%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.7 GB	9302805	9272411	6861340672	8203313152	6871658496	8214540288	179249660944	90895208878	46265928	148349075	7997419520	18073284608
9	4d/340bf6	13134262	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-24 21:25:52.182	5m 57s	5m 24s	394.0%	753.7 MB	1.3 GB	1 GB	1.6 GB	4.1 GB	185.2 MB	356963	324407	790331392	1437831168	1097695232	1709948928	4427958447	194155911	456924	269574	1974681600	194310144
