task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
4	04/05994f	13699249	fastqToSsake (4)	COMPLETED	0	2016-11-26 20:34:56.130	1m 31s	14.3s	92.2%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	53.2 MB	11.1 MB	7874	22981	90552	14282	1679835136	35048312832	1679835136	35114369024	55732337	11675480
8	d1/735565	13699252	fastqToSsake (8)	COMPLETED	0	2016-11-26 20:34:56.252	1m 30s	13.8s	99.0%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.2 MB	11.6 MB	8004	23952	90477	13847	1691504640	35048312832	1691504640	35114369024	56799086	12175252
15	ab/649138	13699246	interleave (7)	COMPLETED	0	2016-11-26 20:34:55.949	2m 2s	28.3s	97.6%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	66.3 MB	60.8 MB	9637	125812	121705	28264	1490567168	35184635904	1490567168	35251769344	69478473	63799698
12	d7/1426f5	13699247	interleave (4)	COMPLETED	0	2016-11-26 20:34:56.015	2m 2s	21.8s	96.2%	1.2 GB	32.8 GB	1.2 GB	32.8 GB	52.7 MB	49.3 MB	7897	101877	121652	21792	1256656896	35184635904	1256656896	35251769344	55226420	51655712
7	0a/8b97eb	13699248	fastqToSsake (7)	COMPLETED	0	2016-11-26 20:34:56.074	2m 2s	17.9s	95.0%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	68.3 MB	19.1 MB	9817	39461	121609	17923	1811443712	35048312832	1812697088	35114369024	71652427	20041334
13	d2/cc0865	13699250	interleave (5)	COMPLETED	0	2016-11-26 20:34:56.187	2m 2s	24s	97.5%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	58.7 MB	52 MB	8675	107503	121577	24005	1455321088	35184635904	1455321088	35251769344	61597236	54508454
14	ed/865b1a	13699254	interleave (6)	COMPLETED	0	2016-11-26 20:34:56.316	2m 2s	22.7s	97.3%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	57.4 MB	52.7 MB	8506	109012	121585	22732	1437396992	35184635904	1437396992	35251769344	60213041	55267698
2	23/cc9c58	13699256	fastqToSsake (2)	COMPLETED	0	2016-11-26 20:34:56.377	2m 2s	20.9s	93.7%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	64.7 MB	14.1 MB	9354	29015	121604	20928	1782464512	35048312832	1783193600	35114369024	67856095	14752584
9	36/ce69b2	13699257	interleave (1)	COMPLETED	0	2016-11-26 20:34:56.436	2m 2s	21.2s	94.1%	1014.5 MB	32.8 GB	1016.5 MB	32.8 GB	47.4 MB	37.7 MB	7219	77986	121623	21210	1063780352	35184635904	1065877504	35251769344	49669442	39535652
1	2e/65f573	13699258	fastqToSsake (1)	COMPLETED	0	2016-11-26 20:34:56.497	2m 2s	14.7s	91.0%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.9 MB	11 MB	8099	22657	121639	14651	1693057024	35048312832	1693057024	35114369024	57573892	11509694
10	db/03a357	13699259	interleave (2)	COMPLETED	0	2016-11-26 20:34:56.551	2m 2s	25.3s	97.3%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	59.8 MB	51.1 MB	8808	105761	121669	25280	1459884032	35184635904	1459884032	35185000448	62687924	53627344
17	6e/722949	13699644	reformat (1)	COMPLETED	0	2016-11-26 20:36:26.786	31.5s	10.9s	90.2%	3.1 MB	28 MB	3.1 MB	28 MB	119.6 MB	116.9 MB	17656	14815	31522	10905	3244032	29310976	3244032	29360128	125427141	122535936
