task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	7d/e21caa	13305376	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-25 14:30:57.678	1h 24m 3s	1h 23m 20s	99.4%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5042580	5000305	4831166464	4980105216	4935938048	4980928512	10832504233	3605886781	41493	372319	2712735744	3606261760
4	bc/75fe37	13320837	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 15:55:00.547	2h 6m 33s	2h 5m 56s	795.0%	5.7 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7592564	7556218	6147964928	7506399232	6253690880	7612981248	141973888008	58977131988	31021504	96239021	7343640576	11808198656
6	f6/c07ad4	13332881	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 18:01:33.186	5m 1s	4m 16s	424.0%	888.6 MB	1.4 GB	1 GB	1.8 GB	3.1 GB	180.4 MB	300935	255743	931713024	1504235520	1105993728	1957244928	3330165723	189168303	351029	261611	1469587456	189235200
5	56/af4ff8	13320838	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 15:55:00.617	2h 14m 3s	2h 13m 34s	794.5%	5.2 GB	6.2 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	8042534	8013678	5587488768	6615789568	5594828800	6680600576	145700736018	62044557541	31330646	96852829	7430467584	12520828928
7	7c/f485bb	13333645	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 18:09:03.238	5m 1s	4m 29s	417.0%	790 MB	1.4 GB	1 GB	1.6 GB	3.3 GB	181.8 MB	300945	269409	828407808	1456185344	1091915776	1758195712	3512061881	190609780	364168	263844	1545220096	190713856
2	29/46dac0	13320836	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 15:55:00.474	2h 21m 3s	2h 20m 31s	795.7%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.4 GB	75 GB	8462733	8431080	6825951232	8177410048	6830280704	8181878784	169054773868	80481964186	34380589	114980914	8155500544	18285047808
8	b1/49c511	13334906	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 18:16:03.282	6m 1s	5m 29s	386.0%	764.4 MB	1.3 GB	1 GB	1.6 GB	4.6 GB	182.8 MB	360979	329325	801488896	1361817600	1103978496	1705766912	4949388580	191682378	455549	265726	2188431360	191832064
3	ae/42e3ce	13320835	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 15:55:00.396	2h 35m 3s	2h 34m 20s	830.4%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.7 GB	9302923	9259986	6853160960	8203386880	6863572992	8214614016	179249659535	90895147446	45177308	148349201	7996076032	18073473024
9	a4/4bbc15	13335924	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 18:30:03.852	6m 1s	5m 25s	391.0%	772.2 MB	1.3 GB	1 GB	1.6 GB	4.1 GB	181.9 MB	360529	325337	809660416	1389080576	1099919360	1699471360	4402677372	190749552	454083	264261	1974575104	190840832
