task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
9	dd/b6881a	13517256	interleave (1)	COMPLETED	0	2016-11-26 08:26:29.291	1m 2s	27.7s	99.9%	1.2 GB	32.8 GB	1.2 GB	32.8 GB	53.7 MB	49.6 MB	8029	102648	61714	27728	1303482368	35184635904	1305579520	35251769344	56304962	52038690
2	9b/6593db	13517258	fastqToSsake (2)	COMPLETED	0	2016-11-26 08:26:29.375	1m 2s	16.7s	99.2%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	64.7 MB	20 MB	9354	41166	61675	16710	1780203520	35048312832	1780580352	35114369024	67856095	20932792
10	2a/b0868e	13517259	interleave (2)	COMPLETED	0	2016-11-26 08:26:29.449	1m 2s	31.4s	100.0%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	58.6 MB	50.1 MB	8653	103626	61697	31444	1453056000	35184635904	1453056000	35251769344	61415411	52544692
15	d7/66bc8f	13517260	interleave (7)	COMPLETED	0	2016-11-26 08:26:29.537	1m 2s	29.7s	100.0%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	64.7 MB	57.5 MB	9432	118898	61701	29699	1481760768	35184635904	1481760768	35251769344	67799113	60295582
6	dd/05ec50	13517261	fastqToSsake (6)	COMPLETED	0	2016-11-26 08:26:29.599	1m 2s	15.6s	97.4%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	61.9 MB	10.2 MB	8995	21099	61658	15599	1779654656	35048312832	1780383744	35114369024	64913515	10723478
1	08/749141	13517263	fastqToSsake (1)	COMPLETED	0	2016-11-26 08:26:29.680	1m 2s	14.3s	97.9%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.9 MB	11.2 MB	8099	23080	61620	14343	1694437376	35048312832	1694437376	35114369024	57573892	11724832
14	a4/b68e42	13517265	interleave (6)	COMPLETED	0	2016-11-26 08:26:29.766	1m 2s	23.8s	99.3%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	58.6 MB	51.7 MB	8660	106983	61600	23782	1456214016	35184635904	1456214016	35251769344	61474356	54244606
13	84/1f8016	13517267	interleave (5)	COMPLETED	0	2016-11-26 08:26:29.844	1m 2s	22.6s	99.9%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	57.2 MB	52.3 MB	8483	108186	61643	22643	1439416320	35184635904	1439416320	35251769344	60024625	54848896
11	df/8be2c8	13517269	interleave (3)	COMPLETED	0	2016-11-26 08:26:29.918	1m 31s	22.5s	100.0%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	56.5 MB	51.9 MB	8388	107327	91096	22479	1430630400	35184635904	1430630400	35251769344	59248575	54441400
5	8a/764243	13517272	fastqToSsake (5)	COMPLETED	0	2016-11-26 08:26:29.986	1m 31s	14.5s	90.5%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	58.8 MB	10.8 MB	8603	22379	91055	14535	1755344896	35048312832	1757478912	35114369024	61705403	11370958
