task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	bf/8ff1b0	13190163	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-25 02:11:51.264	1h 24m 33s	1h 23m 48s	98.8%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5072654	5028287	4829515776	4980101120	4935921664	4980924416	10832501957	3605673789	41493	372293	2713665536	3606163456
5	f5/b5ad14	13206771	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 03:36:24.240	2h 7m 3s	2h 6m 5s	794.1%	5.8 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7623499	7564550	6183272448	7531966464	6274150400	7623634944	141978368817	58984492974	28838277	96237235	7344922624	11815469056
6	46/ec45f5	13231611	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 05:43:27.880	5m 2s	4m 14s	428.0%	648.7 MB	1.2 GB	1.1 GB	1.8 GB	3.1 GB	185 MB	301896	253621	680218624	1310949376	1175556096	1965293568	3364870219	193978533	355072	269527	1469698048	194109440
3	99/ec4679	13206769	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 03:36:24.071	2h 14m 32s	2h 13m 47s	794.0%	5.2 GB	6.1 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	8071739	8027029	5603532800	6571585536	5613060096	6655643648	145708864888	62052823255	29404491	96851292	7431745536	12529127424
7	e6/dfa926	13233095	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 05:50:55.957	5m 2s	4m 23s	422.0%	701.2 MB	1.2 GB	1 GB	1.5 GB	3.3 GB	179.9 MB	301876	263118	735313920	1321771008	1089568768	1657339904	3495567208	188661148	362244	260701	1545326592	188772352
2	6e/848fe2	13206772	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 03:36:24.309	2h 21m 32s	2h 20m 42s	794.0%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.4 GB	75 GB	8491555	8442171	6833885184	8177336320	6838214656	8181805056	169045750207	80486056069	34406078	114972239	8156782592	18289315840
8	17/c08f7b	13234476	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 05:57:55.987	6m 2s	5m 31s	386.0%	696 MB	1.2 GB	1 GB	1.6 GB	4.6 GB	183.8 MB	361913	331046	729833472	1324060672	1104052224	1724628992	4961209939	192723678	456714	267472	2188537856	192888832
4	e1/8c6b79	13206770	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 03:36:24.167	2h 35m 32s	2h 34m 37s	795.0%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.6 GB	9331804	9277397	6861234176	8203280384	6871642112	8214507520	179239973038	90885405519	45322165	148348182	7997419520	18063663104
9	47/baa9ff	13237206	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 06:11:56.106	6m 2s	5m 26s	391.0%	839.5 MB	1.3 GB	1 GB	1.5 GB	4.1 GB	183.3 MB	361905	325997	880324608	1437827072	1096892416	1642848256	4415804940	192168842	455561	266736	1974681600	192311296
