task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
6	4e/48cbdb	14358536	formatBlast (5)	COMPLETED	0	2016-11-29 15:53:36.210	1m 1s	37.9s	95.1%	304 MB	417.4 MB	528.5 MB	643.3 MB	1013.5 MB	250.8 MB	32478	2767	61235	37945	318795776	437714944	554180608	674553856	1062765200	263011530
2	26/3a7c4e	14358538	formatBlast (6)	COMPLETED	0	2016-11-29 15:53:36.282	1m 1s	45.1s	90.2%	425.8 MB	529.3 MB	562.3 MB	665.9 MB	1014.6 MB	251.2 MB	32513	312	61214	45139	446439424	554991616	589578240	698224640	1063912086	263376288
7	29/333bd9	14358551	formatBlast (7)	COMPLETED	0	2016-11-29 15:53:36.834	1m 1s	31.7s	93.8%	90.9 MB	160.4 MB	117.9 MB	187.5 MB	962.9 MB	237 MB	30857	402	60679	31690	95313920	168239104	123645952	196603904	1009648262	248532531
5	2c/c94794	14358555	formatBlast (4)	COMPLETED	0	2016-11-29 15:53:36.982	1m 1s	31.1s	93.7%	77.1 MB	122.6 MB	77.1 MB	122.6 MB	933 MB	227 MB	29902	3044	60781	31138	80846848	128589824	80846848	128606208	978354850	237994889
1	c3/272ce5	14358557	formatBlast (1)	COMPLETED	0	2016-11-29 15:53:37.042	1m 1s	32s	97.1%	22.5 MB	68.7 MB	24.8 MB	71.1 MB	886 MB	226.8 MB	28396	5082	60876	32007	23605248	72019968	25989120	74526720	929006244	237856503
9	5f/85dcb0	14358543	formatBlast (9)	COMPLETED	0	2016-11-29 15:53:36.409	1m 2s	41.3s	95.1%	268.5 MB	433.8 MB	459.4 MB	610.9 MB	1.1 GB	226.4 MB	34888	70	62033	41256	281493504	454840320	481767424	640614400	1141736100	237379413
15	7f/977644	14358529	formatChr (6)	COMPLETED	0	2016-11-29 15:53:35.964	1m 31s	23.7s	70.0%	275.5 MB	288.7 MB	277.6 MB	290.8 MB	2.1 GB	1 GB	375895	278204	91477	23681	288919552	302759936	291061760	304930816	2225759283	1080556004
19	21/03ff6e	14359356	blast (1)	COMPLETED	0	2016-11-29 15:54:37.831	30.7s	5.6s	75.3%	160 MB	445.2 MB	455.3 MB	581 MB	192.8 KB	614.8 KB	56	160	30652	5638	167759872	466800640	477405184	609198080	197463	629603
20	20/009a9d	14359358	blast (2)	COMPLETED	0	2016-11-29 15:54:37.896	30.6s	5.3s	0.0%	1.8 MB	62.8 MB	1.8 MB	62.8 MB	17.4 KB	0	31	0	30649	5260	1851392	65826816	1851392	65843200	17822	0
8	cf/1dcc8c	14358540	formatBlast (8)	COMPLETED	0	2016-11-29 15:53:36.352	2m 2s	1m 1s	95.2%	49.4 MB	97.2 MB	59.3 MB	110.8 MB	2 GB	494.9 MB	64624	4864	122105	60593	51834880	101900288	62144512	116199424	2116125346	518969366
3	7c/32b29c	14358553	formatBlast (2)	COMPLETED	0	2016-11-29 15:53:36.914	2m 2s	49.8s	95.7%	543.4 MB	724.3 MB	815.8 MB	865.2 MB	1.6 GB	408.1 MB	53282	6558	121570	49840	569815040	759443456	855470080	907186176	1744470688	427963927
4	b5/21c5ce	14358559	formatBlast (3)	COMPLETED	0	2016-11-29 15:53:37.102	2m 1s	1m 15s	97.5%	83.7 MB	135.8 MB	105.3 MB	157.4 MB	2.4 GB	621.9 MB	79493	7840	121405	75241	87715840	142446592	110419968	165064704	2603352764	652093606
17	20/81c11f	14358568	formatChr (8)	COMPLETED	0	2016-11-29 15:53:37.517	2m 1s	28.8s	89.1%	365.8 MB	379.3 MB	365.8 MB	379.3 MB	1.1 GB	1.1 GB	139538	278437	121094	28803	383582208	397676544	383582208	397692928	1140413643	1140394043
21	2b/a6a0af	14359361	blast (3)	COMPLETED	0	2016-11-29 15:54:37.970	1m 1s	2.6s	11.0%	75.6 MB	353.2 MB	77.3 MB	353.2 MB	33.4 KB	0	34	0	60791	2642	79278080	370315264	81100800	370331648	34209	0
22	94/8122c7	14359363	blast (4)	COMPLETED	0	2016-11-29 15:54:38.021	1m 1s	2.5s	30.0%	201 MB	352.5 MB	207.8 MB	352.5 MB	33.4 KB	0	34	0	60764	2489	210747392	369655808	217935872	369672192	34209	0
11	b2/30e996	14358564	formatChr (2)	COMPLETED	0	2016-11-29 15:53:37.384	2m 32s	25.6s	83.7%	386.8 MB	399.9 MB	389.9 MB	403 MB	2.8 GB	1.7 GB	443828	459364	152075	25641	405557248	419319808	408788992	422608896	3046742880	1829954693
23	bd/d943c1	14359365	blast (5)	COMPLETED	0	2016-11-29 15:54:38.098	1m 31s	3.1s	45.0%	217 MB	352.2 MB	219.8 MB	352.2 MB	33.4 KB	0	34	0	91386	3105	227549184	369324032	230477824	369340416	34209	0
24	4d/662e8b	14359373	blast (6)	COMPLETED	0	2016-11-29 15:54:38.535	1m 31s	2.7s	33.0%	237.1 MB	380.7 MB	242.9 MB	380.7 MB	33.4 KB	0	34	0	90969	2691	248578048	399216640	254660608	399233024	34209	0
27	8e/ae8301	14360173	blast (7)	COMPLETED	0	2016-11-29 15:55:38.580	30.9s	6.1s	65.0%	148.3 MB	682 MB	610.1 MB	742.3 MB	191.8 KB	2.2 KB	55	9	30944	6068	155480064	715145216	639705088	778383360	196439	2225
28	7a/51c681	14360175	blast (8)	COMPLETED	0	2016-11-29 15:55:38.659	30.9s	4.4s	0.0%	40.7 MB	515.3 MB	53.2 MB	515.4 MB	33.4 KB	0	34	0	30895	4405	42692608	540372992	55775232	540389376	34209	0
29	9e/3c43ea	14360177	blast (9)	COMPLETED	0	2016-11-29 15:55:38.740	30.8s	6.5s	65.1%	475.5 MB	789.6 MB	650.5 MB	789.6 MB	191.8 KB	0	55	0	30837	6530	498606080	827965440	682094592	827981824	196439	0
31	f2/9df79d	14360601	exonerate (4)	COMPLETED	0	2016-11-29 15:56:09.756	30.7s	7.5s	69.2%	695 MB	732.8 MB	695 MB	732.8 MB	354.3 MB	420.4 KB	90771	123	30711	7474	728809472	768360448	728809472	768376832	371501836	430520
32	2c/2a8809	-	normExonerate (1)	COMPLETED	-	2016-11-29 15:56:40.543	4ms	1ms	-	-	-	-	-	-	-	-	-	4	1	-	-	-	-	-	-
13	36/647ef2	14358534	formatChr (4)	COMPLETED	0	2016-11-29 15:53:36.132	3m 32s	1m 33s	71.8%	197.2 MB	210.4 MB	199.1 MB	212.4 MB	1.4 GB	1.1 GB	971334	337984	212334	93449	206782464	220622848	208801792	222670848	1485759334	1138832750
14	6c/0b9a10	14358563	formatChr (5)	COMPLETED	0	2016-11-29 15:53:37.302	3m 32s	49.2s	89.0%	332.8 MB	345.9 MB	334.3 MB	347.5 MB	2.2 GB	1017.6 MB	733165	299963	212160	49160	348921856	362717184	350568448	364425216	2342184959	1067015881
26	7f/fbff44	14359789	exonerate (2)	COMPLETED	0	2016-11-29 15:55:08.979	2m 1s	1m 43s	66.0%	701.9 MB	759 MB	701 MB	757.9 MB	1 GB	34.1 MB	268461	10077	120740	103405	735948800	795873280	735014912	794697728	1092752285	35771520
37	13/f42d45	-	normExonerate (2)	COMPLETED	-	2016-11-29 15:57:09.766	19ms	1ms	-	-	-	-	-	-	-	-	-	19	1	-	-	-	-	-	-
