task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
8	3a/a53591	13746549	fastqToSsake (8)	COMPLETED	0	2016-11-26 23:39:17.786	1m 31s	18.4s	99.8%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	68.3 MB	19.1 MB	9817	39341	90751	18359	1813925888	35048304640	1814986752	35114360832	71650319	19980520
1	23/b218c5	13746550	fastqToSsake (1)	COMPLETED	0	2016-11-26 23:39:17.895	1m 31s	14.7s	99.1%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	54.9 MB	11.2 MB	8099	23080	90679	14730	1695076352	35048304640	1695076352	35048947712	57571784	11724832
2	2d/bdb4e6	13746551	fastqToSsake (2)	COMPLETED	0	2016-11-26 23:39:17.938	1m 31s	17.1s	97.8%	1.7 GB	32.6 GB	1.7 GB	32.6 GB	64.7 MB	19.9 MB	9354	41046	90709	17075	1786208256	35048304640	1786298368	35048947712	67853987	20871868
4	c9/b8c5f8	13746552	fastqToSsake (4)	COMPLETED	0	2016-11-26 23:39:17.996	1m 31s	15.8s	90.1%	1.2 GB	32.6 GB	1.2 GB	32.7 GB	53.1 MB	8.9 MB	7874	18283	90666	15830	1319292928	35048304640	1321390080	35114360832	55730453	9286436
3	6e/fd563c	13746553	fastqToSsake (3)	COMPLETED	0	2016-11-26 23:39:18.054	1m 31s	14.7s	96.8%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	57.8 MB	11 MB	8475	22616	90682	14694	1750208512	35048304640	1751805952	35114360832	60653164	11492720
6	2d/affb42	13746554	fastqToSsake (6)	COMPLETED	0	2016-11-26 23:39:18.111	1m 31s	17.3s	90.0%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	61.9 MB	17.5 MB	8995	36132	90752	17314	1781919744	35048304640	1782448128	35114360832	64911631	18368810
5	04/99146e	13746555	fastqToSsake (5)	COMPLETED	0	2016-11-26 23:39:18.146	1m 31s	17s	93.7%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	58.8 MB	16.6 MB	8603	34260	90738	16991	1756655616	35048304640	1757372416	35114360832	61703295	17412638
9	e4/2ba64c	13746556	interleave (1)	COMPLETED	0	2016-11-26 23:39:18.210	1m 31s	22.2s	95.8%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	54.3 MB	50.6 MB	8111	104725	90808	22159	1386201088	35184627712	1386201088	35251761152	56973390	53093544
10	78/5eeb4f	13746557	interleave (2)	COMPLETED	0	2016-11-26 23:39:18.249	1m 31s	26.3s	95.3%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	58.5 MB	48.5 MB	8645	100224	90852	26315	1460473856	35184627712	1460473856	35251761152	61350520	50819952
11	d6/411098	13746558	interleave (3)	COMPLETED	0	2016-11-26 23:39:18.304	1m 31s	23.2s	98.5%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	56.6 MB	52 MB	8396	107586	90879	23156	1431105536	35184627712	1431105536	35251761152	59312003	54572862
7	c9/885d7d	13746559	fastqToSsake (7)	COMPLETED	0	2016-11-26 23:39:18.364	1m 31s	14s	91.6%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	54.2 MB	11.8 MB	8004	24372	90845	13978	1693470720	35048304640	1693507584	35048947712	56796978	12389568
12	81/e60f8a	13746560	interleave (4)	COMPLETED	0	2016-11-26 23:39:18.398	2m 1s	25.7s	97.5%	1.1 GB	32.8 GB	1.1 GB	32.8 GB	49 MB	41.2 MB	7428	85197	121132	25742	1131077632	35184627712	1133174784	35251761152	51377097	43196012
13	62/44ff5e	13746561	interleave (5)	COMPLETED	0	2016-11-26 23:39:18.454	2m 1s	25.9s	100.0%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	54.3 MB	46.1 MB	8104	95399	121089	25873	1440026624	35184627712	1440026624	35184992256	56917749	48361662
14	57/e9580a	13746562	interleave (6)	COMPLETED	0	2016-11-26 23:39:18.508	2m 1s	24s	98.3%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	59.4 MB	53.4 MB	8760	110374	121048	23960	1455824896	35184627712	1455824896	35184992256	62291448	55961602
15	65/520a27	13746563	interleave (7)	COMPLETED	0	2016-11-26 23:39:18.571	2m 1s	23.8s	98.4%	1.2 GB	32.8 GB	1.2 GB	32.8 GB	52.3 MB	47.1 MB	7850	97439	121000	23765	1289621504	35184627712	1291718656	35184992256	54835310	49395404
16	24/61eea5	13746564	interleave (8)	COMPLETED	0	2016-11-26 23:39:18.612	2m 1s	30.8s	98.0%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	63.7 MB	55.5 MB	9309	114675	121049	30804	1491976192	35184627712	1491976192	35251761152	66789389	58152352
17	0e/2c4848	13746946	reformat (1)	COMPLETED	0	2016-11-26 23:40:48.630	31.4s	13.6s	96.6%	3.1 MB	27.9 MB	3.1 MB	28 MB	248.7 MB	243.8 MB	36659	30859	31371	13623	3235840	29298688	3235840	29347840	260750901	255623168
18	72/83dda9	13746948	reformat (2)	COMPLETED	0	2016-11-26 23:40:48.719	31.4s	10.4s	89.2%	3.1 MB	27.9 MB	3.1 MB	28 MB	135.5 MB	132 MB	19958	16750	31354	10351	3244032	29298688	3244032	29347840	142052917	138461184
19	ea/5fed44	13746950	reformat (3)	COMPLETED	0	2016-11-26 23:40:48.784	31.4s	15.7s	90.8%	3.1 MB	27.9 MB	3.1 MB	28 MB	197.7 MB	193.7 MB	29120	24506	31365	15671	3235840	29298688	3235840	29347840	207334965	203096064
20	09/3b63ad	13746951	reformat (4)	COMPLETED	0	2016-11-26 23:40:48.849	31.4s	9.9s	89.3%	3.1 MB	27.9 MB	3.1 MB	28 MB	137 MB	133.7 MB	20211	16965	31381	9924	3239936	29298688	3239936	29347840	143691317	140214272
21	ba/28bee5	13746952	reformat (5)	COMPLETED	0	2016-11-26 23:40:48.929	31.4s	10.2s	89.2%	3.1 MB	27.9 MB	3.1 MB	28 MB	150.6 MB	146.9 MB	22338	18710	31374	10183	3235840	29298688	3235840	29347840	157965877	153993216
24	14/d47961	13746955	alignReads (1)	COMPLETED	0	2016-11-26 23:40:49.158	31.2s	364ms	0.0%	1.2 MB	11.1 MB	1.3 MB	11.1 MB	27.1 KB	242 B	61	4	31231	364	1286144	11620352	1314816	11644928	27781	242
25	61/75a56d	13746956	alignReads (2)	COMPLETED	0	2016-11-26 23:40:49.250	31.2s	396ms	19.0%	28.2 MB	59.5 MB	33.9 MB	55.2 MB	63.7 KB	279 B	77	5	31222	396	29536256	62353408	35500032	57929728	65244	279
26	94/a8a0b7	13746957	alignReads (3)	COMPLETED	0	2016-11-26 23:40:49.316	31.2s	359ms	0.0%	1.2 MB	11.1 MB	1.3 MB	11.1 MB	27.1 KB	242 B	61	4	31181	359	1294336	11620352	1323008	11644928	27781	242
22	db/c383eb	13746953	reformat (6)	COMPLETED	0	2016-11-26 23:40:48.995	1m 2s	13s	97.1%	3.1 MB	27.9 MB	3.1 MB	28 MB	233.1 MB	228.4 MB	34513	28999	61541	13039	3239936	29298688	3239936	29347840	244391477	239468544
23	02/0a1555	13746954	reformat (7)	COMPLETED	0	2016-11-26 23:40:49.075	1m 1s	10.3s	89.2%	3.1 MB	27.9 MB	3.1 MB	28 MB	151.3 MB	147.5 MB	22440	18790	61474	10316	3239936	29298688	3239936	29347840	158670389	154615808
27	37/de01fd	13746958	reformat (8)	COMPLETED	0	2016-11-26 23:40:49.398	1m 31s	10s	89.6%	3.1 MB	27.9 MB	3.1 MB	28 MB	140.4 MB	136.9 MB	20739	17395	91149	9957	3239936	29298688	3239936	29347840	147258933	143572992
