task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
8	f7/87a982	13470690	fastqToSsake (8)	COMPLETED	0	2016-11-26 05:25:06.121	30.7s	19.6s	88.2%	1.7 GB	32.6 GB	1.7 GB	32.6 GB	68.3 MB	16.5 MB	9817	33997	30685	19587	1808834560	35048304640	1810497536	35048947712	71650543	17266286
6	ea/77cb8b	13470693	fastqToSsake (6)	COMPLETED	0	2016-11-26 05:25:06.240	30.6s	17.1s	88.5%	1.7 GB	32.6 GB	1.7 GB	32.6 GB	61.9 MB	17.9 MB	8995	36852	30614	17050	1779539968	35048304640	1782611968	35048947712	64911631	18733956
1	84/e12163	13470694	fastqToSsake (1)	COMPLETED	0	2016-11-26 05:25:06.300	30.6s	18.2s	93.9%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	64.7 MB	17.8 MB	9354	36715	30626	18192	1779302400	35048304640	1780994048	35114360832	67853987	18669738
2	be/be45e5	13470695	fastqToSsake (3)	COMPLETED	0	2016-11-26 05:25:06.366	30.6s	16s	90.3%	1.3 GB	32.6 GB	1.3 GB	32.7 GB	54.9 MB	9.7 MB	8099	19952	30588	15980	1403686912	35048304640	1405784064	35114360832	57571784	10133798
7	ac/a85321	13470696	fastqToSsake (7)	COMPLETED	0	2016-11-26 05:25:06.431	30.7s	15.4s	78.0%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	54.2 MB	9.8 MB	8004	20278	30656	15420	1694023680	35048304640	1694023680	35048947712	56796978	10304912
3	d1/77935c	13470697	fastqToSsake (2)	COMPLETED	0	2016-11-26 05:25:06.497	30.7s	14.5s	92.0%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	57.8 MB	11.3 MB	8475	23403	30659	14547	1748578304	35048304640	1750351872	35114360832	60653164	11892466
11	f8/4dccc6	13470688	interleave (2)	COMPLETED	0	2016-11-26 05:25:06.057	1m 2s	28.8s	92.1%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	56.4 MB	51.7 MB	8375	106863	61733	28819	1430212608	35184627712	1430212608	35251761152	59140195	54205480
14	ea/7e795a	13470692	interleave (6)	COMPLETED	0	2016-11-26 05:25:06.182	1m 2s	26.4s	89.2%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	56.1 MB	46.3 MB	8336	95791	61630	26427	1455362048	35184627712	1455362048	35251761152	58818264	48569436
15	9c/9d702a	13470698	interleave (7)	COMPLETED	0	2016-11-26 05:25:06.566	1m 31s	21.1s	96.7%	1.1 GB	32.8 GB	1.1 GB	32.8 GB	48.5 MB	39.1 MB	7361	80819	91234	21141	1131597824	35184627712	1133694976	35251761152	50829422	40969666
13	07/e1e5a0	13470699	interleave (5)	COMPLETED	0	2016-11-26 05:25:06.633	1m 31s	22.7s	96.1%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	57.9 MB	53.7 MB	8568	111110	91192	22708	1437032448	35184627712	1437032448	35251761152	60718837	56331992
9	18/76d031	13470700	interleave (1)	COMPLETED	0	2016-11-26 05:25:06.701	1m 31s	25.2s	96.7%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	60.4 MB	52.5 MB	8888	108478	91219	25234	1449111552	35184627712	1449111552	35251761152	63341176	55004766
