task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	a0/ef6b2b	14396789	formatChr (9)	COMPLETED	0	2016-11-29 17:43:38.638	30.7s	9s	85.1%	264.4 MB	277.6 MB	266.1 MB	279.4 MB	787 MB	787 MB	100983	201493	30658	9041	277278720	291123200	279052288	292925440	825265074	825253057
6	1e/703793	14396797	formatBlast (5)	COMPLETED	0	2016-11-29 17:43:40.853	1m 1s	27.9s	112.0%	389 MB	503.6 MB	527.2 MB	643.3 MB	989.3 MB	243.4 MB	31702	614	61430	27884	407908352	528080896	552783872	674557952	1037339452	255239677
7	32/87f207	14396799	formatBlast (7)	COMPLETED	0	2016-11-29 17:43:40.995	1m 1s	30.4s	97.4%	89.2 MB	160.5 MB	116.2 MB	187.5 MB	992.4 MB	244.6 MB	31803	511	61305	30362	93548544	168247296	121839616	196612096	1040649010	256507060
15	c3/59e682	14396792	formatChr (6)	COMPLETED	0	2016-11-29 17:43:39.950	1m 31s	22.6s	76.6%	245.8 MB	259 MB	247.8 MB	261.1 MB	2.1 GB	1 GB	375856	278202	91338	22579	257773568	271618048	259792896	273788928	2225739675	1080555927
11	4a/61d3ae	14396793	formatChr (2)	COMPLETED	0	2016-11-29 17:43:40.223	1m 31s	33.3s	77.8%	314.7 MB	327.9 MB	314.7 MB	328 MB	2.8 GB	1.7 GB	436356	458980	91087	33297	330022912	343867392	330022912	343891968	3039568742	1829939478
9	fa/3036ab	14396800	formatBlast (9)	COMPLETED	0	2016-11-29 17:43:41.068	1m 30s	34.1s	99.0%	336.4 MB	470.3 MB	541.2 MB	693.9 MB	1.1 GB	226.4 MB	36696	71	90338	34092	352727040	493109248	567459840	727629824	1200982864	237383687
5	35/47bdde	14396801	formatBlast (4)	COMPLETED	0	2016-11-29 17:43:41.148	1m 30s	29.7s	100.0%	82.3 MB	142.5 MB	93 MB	153.3 MB	967.1 MB	235 MB	30991	3046	90279	29736	86269952	149409792	97517568	160776192	1014041422	246396253
8	88/8e4ec7	14396802	formatBlast (8)	COMPLETED	0	2016-11-29 17:43:41.219	2m 1s	57.9s	100.0%	65.1 MB	113 MB	65.1 MB	115.4 MB	2.1 GB	518.3 MB	67801	4882	121076	57928	68235264	118472704	68235264	120971264	2220231502	543468903
21	68/874835	14397043	blast (3)	COMPLETED	0	2016-11-29 17:45:11.575	30.7s	2.9s	28.0%	146.8 MB	380.7 MB	165 MB	380.7 MB	33.4 KB	0	34	0	30749	2917	153919488	399220736	172994560	399237120	34153	0
22	10/1b97eb	14397044	blast (4)	COMPLETED	0	2016-11-29 17:45:11.826	30.6s	2.4s	22.0%	89.4 MB	352.5 MB	94.6 MB	352.6 MB	33.4 KB	0	34	0	30632	2436	93786112	369659904	99151872	369676288	34153	0
3	04/153d9e	14396798	formatBlast (3)	COMPLETED	0	2016-11-29 17:43:40.927	2m 2s	1m 15s	99.0%	110.1 MB	162.6 MB	110.1 MB	162.6 MB	2.4 GB	610.5 MB	77931	7563	122363	75265	115462144	170463232	115462144	170479616	2552171368	640165664
19	65/16b455	14397037	blast (1)	COMPLETED	0	2016-11-29 17:44:42.404	1m 1s	4.8s	32.0%	154.5 MB	335.9 MB	179.5 MB	335.9 MB	33.4 KB	0	34	0	60903	4816	162000896	352174080	188186624	352190464	34153	0
14	a4/8e1c35	14396794	formatChr (5)	COMPLETED	0	2016-11-29 17:43:40.300	2m 32s	58.5s	58.0%	204.1 MB	217.3 MB	204.2 MB	217.4 MB	2.2 GB	1017.7 MB	778967	302311	152001	58488	213979136	227823616	214110208	227979264	2360241586	1067122892
23	42/2b755a	14397278	blast (5)	COMPLETED	0	2016-11-29 17:45:42.399	30s	5s	44.0%	158.8 MB	612.9 MB	167.7 MB	612.9 MB	33.4 KB	0	34	0	29998	4967	166469632	642695168	175874048	642711552	34153	0
20	94/14b060	14397038	blast (2)	COMPLETED	0	2016-11-29 17:44:42.465	1m 31s	2.5s	27.0%	154.7 MB	353.2 MB	160 MB	353.2 MB	33.4 KB	0	34	0	90835	2505	162193408	370319360	167768064	370335744	34153	0
25	ea/b8c489	14397282	blast (6)	COMPLETED	0	2016-11-29 17:45:43.381	29.9s	5.9s	75.6%	591.2 MB	789.6 MB	646.7 MB	789.6 MB	191.8 KB	0	55	0	29942	5940	619945984	827973632	678096896	827990016	196383	0
