task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	6d/30f181	13431179	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-26 02:47:03.038	1h 24m 34s	1h 23m 41s	98.8%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5073615	5021132	4829188096	4980105216	4935995392	4980928512	10832501957	3626645309	41493	374853	2713665536	3626971136
3	1a/4789be	13452257	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-26 04:11:36.990	2h 6m 5s	2h 5m 11s	794.1%	5.8 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7564503	7510722	6202384384	7547248640	6267490304	7612907520	141966012332	58959289830	28799507	96245034	4152074240	11790233600
6	88/fc52c7	13484439	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-26 06:17:41.646	4m 33s	4m 13s	423.0%	506.2 MB	1.1 GB	1.1 GB	1.9 GB	3.1 GB	180.3 MB	272898	252829	530759680	1132158976	1221791744	1987829760	3329656286	189072419	350974	261470	984858624	189157376
5	49/6b1983	13452258	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-26 04:11:37.061	2h 14m 5s	2h 13m 17s	793.2%	5.2 GB	6.1 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	8045497	7997328	5616816128	6571589632	5626179584	6636666880	145699123525	62042906847	30438771	96850912	4238884864	12519129088
7	3f/49a3a3	13486457	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-26 06:25:42.654	5m 1s	4m 18s	427.0%	652.7 MB	1.2 GB	1 GB	1.6 GB	3.3 GB	185.1 MB	300942	258398	684355584	1303609344	1088794624	1709957120	3536563131	194097849	366968	269574	1060491264	194248704
2	d8/ccc51c	13452256	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-26 04:11:36.919	2h 21m 3s	2h 20m 16s	794.5%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.4 GB	74.9 GB	8462699	8415883	6836068352	8177303552	6840393728	8181772288	169035363226	80448368776	34438046	114988321	4963934208	18251485184
8	12/ce615d	13488284	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-26 06:32:39.719	6m 2s	5m 28s	387.0%	701.8 MB	1.4 GB	1 GB	1.6 GB	4.6 GB	181.8 MB	361958	327773	735850496	1523290112	1106415616	1725534208	4937946716	190665167	454424	263864	1703698432	190824448
4	60/e97e7c	13452254	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-26 04:11:36.820	2h 35m 1s	2h 34m 21s	794.5%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.6 GB	9300903	9260702	6859157504	8203247616	6869528576	8214474752	179240469864	90885888835	45963383	148347598	7512584192	18064187392
9	7d/b91a41	13491925	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-26 06:46:37.912	5m 59s	5m 22s	393.0%	660.1 MB	1.3 GB	1 GB	1.6 GB	4.1 GB	182.4 MB	358861	321778	692121600	1389690880	1096556544	1742024704	4407902894	191292144	454696	265266	1489842176	191422464
