task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
16	5c/551455	14390428	formatChr (7)	COMPLETED	0	2016-11-29 17:11:53.563	30.5s	9.1s	80.6%	266.6 MB	279.8 MB	268.1 MB	281.3 MB	793.6 MB	793.6 MB	101825	203174	30468	9099	279543808	293388288	281071616	294944768	832147566	832134673
2	f9/1929c0	14390431	formatBlast (1)	COMPLETED	0	2016-11-29 17:11:53.752	1m 1s	34.7s	94.3%	27 MB	73.8 MB	30.5 MB	77.3 MB	990.7 MB	252.4 MB	31748	5151	61257	34726	28332032	77389824	31936512	81022976	1038846800	264652884
7	98/857fe6	14390434	formatBlast (7)	COMPLETED	0	2016-11-29 17:11:53.964	1m 1s	30s	98.0%	89.2 MB	160.5 MB	116.1 MB	187.5 MB	990.8 MB	244.1 MB	31751	498	61067	29967	93556736	168247296	121708544	196612096	1038945074	255945253
5	43/1a9d55	14390435	formatBlast (4)	COMPLETED	0	2016-11-29 17:11:54.034	1m 1s	29.4s	97.4%	82.3 MB	142.5 MB	91.8 MB	153.3 MB	979.8 MB	235 MB	31400	3046	61011	29377	86257664	149409792	96215040	160776192	1027443534	246396253
1	e7/d1650a	14390437	formatBlast (6)	COMPLETED	0	2016-11-29 17:11:54.169	1m 31s	31.1s	97.6%	371.7 MB	478.4 MB	558.9 MB	665.9 MB	925.5 MB	215.8 MB	29660	62	90847	31109	389767168	501612544	586092544	698236928	970427202	226244808
15	1e/bd93ac	14390424	formatChr (6)	COMPLETED	0	2016-11-29 17:11:53.300	1m 33s	34.4s	82.1%	269.5 MB	282.7 MB	270.6 MB	283.9 MB	2.1 GB	1 GB	395707	279220	92712	34382	282619904	296464384	283766784	297639936	2237098340	1080595211
11	f7/134ff3	14390433	formatChr (2)	COMPLETED	0	2016-11-29 17:11:53.895	1m 32s	38.5s	95.5%	383.9 MB	397.1 MB	385.4 MB	398.6 MB	3.1 GB	1.7 GB	504817	462196	92139	38484	402558976	416407552	404123648	417935360	3280183443	1830071693
20	24/696f50	14390586	blast (2)	COMPLETED	0	2016-11-29 17:12:55.135	30.9s	3s	31.0%	152.7 MB	353.2 MB	156.3 MB	353.2 MB	33.4 KB	0	34	0	30923	2959	160165888	370319360	163893248	370335744	34153	0
3	1e/010390	14390430	formatBlast (2)	COMPLETED	0	2016-11-29 17:11:53.689	2m 1s	55.9s	96.6%	600.4 MB	649.6 MB	815.7 MB	865.2 MB	1.7 GB	417.8 MB	54556	6569	121332	55936	629575680	681201664	855351296	907194368	1786219340	438050468
8	61/e3e53f	14390438	formatBlast (8)	COMPLETED	0	2016-11-29 17:11:54.240	2m 2s	58.2s	99.0%	64.5 MB	113 MB	64.8 MB	115.4 MB	2.1 GB	515.3 MB	67313	4880	121783	58150	67592192	118472704	67960832	120971264	2204240718	540331364
9	b2/1f04d9	14390439	formatBlast (9)	COMPLETED	0	2016-11-29 17:11:54.325	2m 2s	39.6s	99.2%	337 MB	470.3 MB	542.5 MB	693.9 MB	1.1 GB	226.4 MB	36262	71	121717	39628	353325056	493109248	568823808	727629824	1186761552	237383687
6	eb/c31f87	14390440	formatBlast (5)	COMPLETED	0	2016-11-29 17:11:54.403	2m 2s	28.3s	99.6%	388.6 MB	503.6 MB	526.7 MB	643.3 MB	980.3 MB	241.1 MB	31414	114	121731	28270	407470080	528080896	552247296	674557952	1027902268	252836014
