task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
1	18/e62e7c	13563506	fastqToSsake (1)	COMPLETED	0	2016-11-26 11:26:22.078	30.7s	15.5s	95.7%	1.3 GB	32.6 GB	1.3 GB	32.7 GB	54.9 MB	9.8 MB	8100	20256	30733	15519	1406877696	35048304640	1408974848	35114360832	57572013	10288154
4	68/2a3257	13563507	fastqToSsake (4)	COMPLETED	0	2016-11-26 11:26:22.140	30.7s	17.9s	88.7%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	58.8 MB	15.3 MB	8603	31490	30706	17903	1758265344	35048304640	1758945280	35048947712	61703519	16004734
7	cd/b4185e	13563508	fastqToSsake (7)	COMPLETED	0	2016-11-26 11:26:22.199	30.7s	15.4s	91.4%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.2 MB	9.7 MB	8004	20037	30676	15418	1695985664	35048304640	1695985664	35114360832	56797202	10182100
3	f8/d9ff74	13563509	fastqToSsake (3)	COMPLETED	0	2016-11-26 11:26:22.264	30.7s	14.8s	95.7%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	57.8 MB	10.3 MB	8476	21286	30731	14804	1751166976	35048304640	1752698880	35114360832	60653393	10817404
8	35/25c136	13563511	fastqToSsake (8)	COMPLETED	0	2016-11-26 11:26:22.385	30.7s	18.3s	93.1%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	68.3 MB	18.7 MB	9817	38620	30683	18277	1806970880	35048304640	1808556032	35114360832	71650543	19613810
2	62/c41518	13563514	fastqToSsake (2)	COMPLETED	0	2016-11-26 11:26:22.508	30.6s	18s	88.0%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	64.7 MB	18 MB	9354	37196	30629	17952	1781272576	35048304640	1782169600	35114360832	67853987	18914740
15	2c/7a76ff	13563519	interleave (7)	COMPLETED	0	2016-11-26 11:26:22.684	30.6s	21.1s	96.2%	1.1 GB	32.8 GB	1.1 GB	32.8 GB	48.4 MB	38.9 MB	7349	80401	30551	21136	1131548672	35184627712	1133645824	35251761152	50731342	40757950
10	cb/3385aa	13563510	interleave (2)	COMPLETED	0	2016-11-26 11:26:22.326	1m 1s	27.4s	94.5%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	64.5 MB	61.1 MB	9413	126433	61475	27386	1460699136	35184627712	1460699136	35251761152	67642200	64111408
13	35/5e7349	13563512	interleave (5)	COMPLETED	0	2016-11-26 11:26:22.441	1m 1s	28.8s	94.4%	1.2 GB	32.8 GB	1.2 GB	32.8 GB	51.7 MB	46.9 MB	7768	96949	61374	28777	1255518208	35184627712	1257615360	35184992256	54162601	49157990
12	2c/e9a556	13563516	interleave (4)	COMPLETED	0	2016-11-26 11:26:22.566	1m 1s	22.8s	94.5%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	58 MB	54 MB	8585	111692	61264	22775	1437421568	35184627712	1437421568	35184992256	60858325	56627486
