task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	4e/cc43a1	13142127	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-24 22:06:02.415	1h 24m 3s	1h 23m 29s	99.4%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5042646	5009079	4829065216	4980105216	4935933952	4980928512	10832504233	3621287741	41493	374199	2712735744	3621728256
5	74/03b272	13158506	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-24 23:30:05.462	2h 6m 34s	2h 5m 49s	794.3%	5.7 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7594496	7549066	6168678400	7524556800	6262083584	7618826240	141990808539	58984566688	28876137	96247738	7343640576	11815460864
6	b8/b10fe3	13183257	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 01:36:40.136	4m 33s	4m 16s	423.0%	822.7 MB	1.3 GB	1.1 GB	1.8 GB	3.1 GB	180 MB	272867	256129	862695424	1401139200	1203167232	1946423296	3328474810	188779168	350844	261020	1469181952	188858368
4	be/a85933	13158505	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-24 23:30:05.423	2h 14m 4s	2h 13m 36s	794.4%	5.2 GB	6.2 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	8043814	8015642	5587456000	6615785472	5594095616	6680596480	145700591341	62044414164	29937866	96863754	7430463488	12520722432
7	db/312b0f	13184750	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 01:44:09.356	5m 1s	4m 26s	420.0%	662 MB	1.2 GB	1 GB	1.6 GB	3.3 GB	180.6 MB	300912	265699	694112256	1284739072	1087033344	1691086848	3500398989	189387502	362809	261790	1545220096	189526016
2	5d/853e6a	13158504	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-24 23:30:05.360	2h 21m 35s	2h 20m 36s	795.6%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.4 GB	74.9 GB	8494943	8436201	6827814912	8177410048	6832140288	8181878784	169028296126	80468324501	34700629	114970180	8155500544	18271567872
8	d9/ef8e2a	13186222	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 01:51:40.440	6m 1s	5m 30s	383.0%	671.4 MB	1.2 GB	1 GB	1.6 GB	4.6 GB	181.8 MB	360942	329936	703979520	1303089152	1108819968	1756102656	4937992077	190668392	454427	263878	2188431360	190758912
3	ff/d3430f	13158503	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-24 23:30:05.268	2h 35m 35s	2h 34m 48s	796.6%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.6 GB	9335205	9287931	6852501504	8203321344	6862913536	8214548480	179234871087	90880232247	45328372	148381906	7996137472	18058539008
9	01/08a608	13188954	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 02:05:40.659	5m 55s	5m 24s	392.0%	839.6 MB	1.5 GB	1 GB	1.6 GB	4.1 GB	182.9 MB	354834	324205	880336896	1623953408	1091268608	1691086848	4412270602	191754616	455173	266094	1974575104	191909888
