task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	58/1baadb	14381120	formatChr (9)	COMPLETED	0	2016-11-29 16:25:50.765	30.4s	9.8s	52.2%	242.3 MB	255.5 MB	244.5 MB	257.7 MB	721.4 MB	721.4 MB	92565	184693	30447	9828	254083072	267919360	256348160	270213120	756456446	756444051
2	99/669e69	14381124	formatBlast (5)	COMPLETED	0	2016-11-29 16:25:51.021	1m 1s	29.3s	92.2%	342.3 MB	457.1 MB	528.3 MB	643.3 MB	966.8 MB	219.3 MB	30983	61	61161	29253	358907904	479256576	553955328	674553856	1013776984	229957411
6	3e/25fe99	14381125	formatBlast (6)	COMPLETED	0	2016-11-29 16:25:51.089	1m 1s	31.1s	93.7%	371.7 MB	478.4 MB	559 MB	665.9 MB	918.9 MB	215.8 MB	29449	62	61113	31148	389771264	501604352	586178560	698224640	963510878	226244808
7	c7/6d8413	14381127	formatBlast (7)	COMPLETED	0	2016-11-29 16:25:51.228	1m 30s	31.7s	94.0%	90.8 MB	160.4 MB	117.7 MB	187.5 MB	944.8 MB	232.8 MB	30278	358	90457	31653	95223808	168239104	123375616	196603904	990675534	244117003
5	8e/0706e1	14381128	formatBlast (4)	COMPLETED	0	2016-11-29 16:25:51.296	1m 30s	29.7s	96.5%	72.2 MB	117.9 MB	72.2 MB	117.9 MB	897.4 MB	216.1 MB	28763	3041	90414	29722	75706368	123650048	75706368	123666432	941032042	226582027
1	f6/fa76ed	14381129	formatBlast (1)	COMPLETED	0	2016-11-29 16:25:51.364	1m 31s	32.3s	96.9%	33.2 MB	81.4 MB	34.6 MB	83.8 MB	1 GB	272 MB	34417	5191	90823	32294	34795520	85356544	36233216	87834624	1126302316	285228120
11	c3/8cd7b7	14381116	formatChr (2)	COMPLETED	0	2016-11-29 16:25:50.531	1m 33s	41.4s	75.0%	455 MB	468.1 MB	455 MB	468.1 MB	2.9 GB	1.7 GB	481812	461254	92655	41372	477077504	490852352	477077504	490881024	3114025386	1830032129
15	f3/48f596	14381118	formatChr (6)	COMPLETED	0	2016-11-29 16:25:50.646	1m 33s	22.3s	96.5%	326.1 MB	339.3 MB	328.6 MB	341.8 MB	2.1 GB	1 GB	389116	278882	92556	22302	341987328	355827712	344522752	358387712	2232828555	1080582107
21	c9/30c569	14381287	blast (3)	COMPLETED	0	2016-11-29 16:27:21.793	30.4s	3s	26.0%	170.5 MB	353.2 MB	173.8 MB	353.2 MB	33.4 KB	0	34	0	30408	3001	178810880	370315264	182267904	370331648	34209	0
22	34/f540de	14381288	blast (4)	COMPLETED	0	2016-11-29 16:27:21.861	30.4s	2.8s	26.0%	152.7 MB	352.5 MB	157.5 MB	352.5 MB	33.4 KB	0	34	0	30404	2775	160092160	369655808	165175296	369672192	34209	0
