task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
16	04/84c3f6	14370980	formatChr (7)	COMPLETED	0	2016-11-29 16:09:57.922	30.2s	9.1s	63.8%	254.9 MB	268.1 MB	255.4 MB	268.7 MB	756.6 MB	756.6 MB	97075	193694	30225	9050	267325440	281169920	267845632	281714688	793321082	793308353
2	ba/5c9b2e	14370987	formatBlast (5)	COMPLETED	0	2016-11-29 16:09:58.147	1m 1s	36.4s	114.0%	389.1 MB	503.6 MB	527.2 MB	643.3 MB	989 MB	243.3 MB	31693	587	60972	36360	408006656	528080896	552824832	674557952	1037044540	255164055
5	78/25101f	14370989	formatBlast (4)	COMPLETED	0	2016-11-29 16:09:58.208	1m 1s	30.2s	98.5%	81.6 MB	142.5 MB	91.7 MB	153.3 MB	945.9 MB	230.9 MB	30315	3045	60933	30175	85557248	149409792	96165888	160776192	991890254	242068576
1	d8/83f543	14370997	formatBlast (1)	COMPLETED	0	2016-11-29 16:09:58.425	1m 31s	33s	99.0%	28 MB	74.5 MB	31.7 MB	78.2 MB	1 GB	261.4 MB	33014	5171	90846	33026	29380608	78159872	33189888	82042880	1080331088	274081397
15	95/1e0c2d	14370970	formatChr (6)	COMPLETED	0	2016-11-29 16:09:57.458	1m 33s	35.8s	72.8%	222.5 MB	235.7 MB	224.3 MB	237.6 MB	2.1 GB	1 GB	352378	276998	92672	35844	233340928	247185408	235220992	249090048	2214744024	1080509572
3	6c/54758d	14370992	formatBlast (2)	COMPLETED	0	2016-11-29 16:09:58.273	2m 2s	47.8s	99.2%	600.1 MB	649.6 MB	815.3 MB	865.2 MB	1.7 GB	419.1 MB	54650	6571	121846	47774	629215232	681201664	854921216	907194368	1789299532	439427546
8	29/8e5304	14370994	formatBlast (8)	COMPLETED	0	2016-11-29 16:09:58.348	2m 2s	1m 1s	94.7%	52.4 MB	103.6 MB	58.3 MB	109.6 MB	2 GB	492.5 MB	64028	4862	121793	60804	54906880	108654592	61157376	114970624	2096597838	516434891
6	bd/a7967d	14370999	formatBlast (6)	COMPLETED	0	2016-11-29 16:09:58.498	2m 2s	30.6s	99.8%	372.7 MB	478.4 MB	559.9 MB	665.9 MB	926.5 MB	215.8 MB	29693	62	121664	30629	390762496	501612544	587104256	698236928	971508546	226244808
9	03/c0d4ba	14371000	formatBlast (9)	COMPLETED	0	2016-11-29 16:09:58.587	2m 2s	36.5s	100.0%	289.8 MB	443.2 MB	456.4 MB	608.7 MB	1.1 GB	226.4 MB	34888	70	121590	36458	303906816	464773120	478539776	638255104	1141738320	237379413
21	4b/ba6c5e	14372054	blast (3)	COMPLETED	0	2016-11-29 16:11:29.366	31s	3.8s	27.0%	185 MB	352.2 MB	196.2 MB	352.2 MB	33.4 KB	0	34	0	30982	3805	193957888	369328128	205770752	369344512	34153	0
20	f7/22abd8	14371933	blast (2)	COMPLETED	0	2016-11-29 16:10:59.219	1m 31s	2.8s	24.0%	104.4 MB	352.5 MB	108.7 MB	352.6 MB	33.4 KB	0	34	0	90910	2789	109420544	369659904	113942528	369676288	34153	0
19	2a/b0ce92	14371935	blast (1)	COMPLETED	0	2016-11-29 16:10:59.286	1m 31s	5.7s	43.0%	170.8 MB	335.9 MB	187 MB	335.9 MB	33.4 KB	0	34	0	90864	5725	179126272	352174080	196132864	352190464	34153	0
11	3e/bbf217	14370975	formatChr (2)	COMPLETED	0	2016-11-29 16:09:57.614	2m 34s	45.4s	77.5%	539.2 MB	552.4 MB	540.8 MB	554.1 MB	2.9 GB	1.7 GB	481640	461246	153508	45446	565436416	579276800	567054336	581050368	3113423949	1830031793
22	5c/179861	14372513	blast (4)	COMPLETED	0	2016-11-29 16:12:00.251	30.9s	4.2s	33.0%	147.3 MB	515.3 MB	154.7 MB	515.4 MB	33.4 KB	0	34	0	30894	4206	154468352	540377088	162263040	540393472	34153	0
23	3d/44e90e	14372515	blast (5)	COMPLETED	0	2016-11-29 16:12:00.325	30.9s	6.5s	77.8%	522.7 MB	742.3 MB	544.2 MB	742.3 MB	191.8 KB	0	55	0	30852	6483	548118528	778375168	570683392	778391552	196383	0
24	64/ecd53d	14372517	blast (6)	COMPLETED	0	2016-11-29 16:12:00.399	30.8s	5.1s	19.0%	85.7 MB	340.3 MB	90.2 MB	340.4 MB	33.4 KB	0	34	0	30805	5054	89837568	356880384	94601216	356896768	34153	0
25	0e/75a1ea	14372520	blast (7)	COMPLETED	0	2016-11-29 16:12:00.480	30.7s	3s	22.0%	85.4 MB	380.7 MB	96.2 MB	380.7 MB	33.4 KB	0	34	0	30740	3034	89526272	399220736	100823040	399237120	34153	0
7	db/786b0a	14371001	formatBlast (7)	COMPLETED	0	2016-11-29 16:09:58.659	3m 2s	40.4s	98.1%	89.7 MB	160.5 MB	116.5 MB	187.5 MB	1019.7 MB	251.6 MB	32674	698	182472	40413	94031872	168247296	122118144	196612096	1069189938	263800943
4	9d/2012e8	14371003	formatBlast (3)	COMPLETED	0	2016-11-29 16:09:58.723	3m 2s	1m 15s	100.0%	94.3 MB	146.4 MB	110.4 MB	162.6 MB	2.4 GB	614.9 MB	78443	7728	182425	74710	98893824	153513984	115716096	170479616	2568948584	644739186
26	db/f8e942	14373000	exonerate (1)	COMPLETED	0	2016-11-29 16:12:31.295	30s	8.3s	81.0%	695.1 MB	732.8 MB	695.1 MB	732.8 MB	338.9 MB	420.4 KB	86840	123	29958	8284	728911872	768372736	728911872	768389120	355406275	430520
32	4d/2b42ab	-	normExonerate (1)	COMPLETED	-	2016-11-29 16:13:01.354	5ms	1ms	-	-	-	-	-	-	-	-	-	5	1	-	-	-	-	-	-
13	4b/abc5c2	14370972	formatChr (4)	COMPLETED	0	2016-11-29 16:09:57.518	3m 33s	1m 32s	79.1%	207.1 MB	220.3 MB	208.8 MB	222 MB	1.4 GB	1.1 GB	940754	336430	212620	92131	217137152	230973440	218910720	232775680	1453346082	1138765240
17	3f/9a093f	14370979	formatChr (8)	COMPLETED	0	2016-11-29 16:09:57.697	3m 32s	1m 45s	67.0%	675.7 MB	688.9 MB	675.7 MB	688.9 MB	2.9 GB	2.1 GB	1047568	601337	212472	105043	708526080	722370560	708526080	722395136	3069817680	2242321452
14	a8/b3cbe9	14370983	formatChr (5)	COMPLETED	0	2016-11-29 16:09:58.004	3m 32s	1m 8s	63.0%	247 MB	260.2 MB	248.3 MB	261.5 MB	2.2 GB	1017.7 MB	781385	302435	212188	67831	259006464	272850944	260374528	274247680	2361177289	1067128534
18	31/6f08c7	14370985	formatChr (9)	COMPLETED	0	2016-11-29 16:09:58.070	3m 32s	1m 36s	64.1%	259.7 MB	272.9 MB	260.5 MB	273.8 MB	2.4 GB	1.1 GB	1117261	342679	212137	96132	272289792	286130176	273190912	287059968	2619956557	1140034379
29	bf/6e72c5	14373002	exonerate (4)	COMPLETED	0	2016-11-29 16:12:31.374	1m 1s	33.4s	126.5%	612 MB	672.3 MB	612.2 MB	672.5 MB	955.2 MB	6 MB	244872	1788	60752	33417	641699840	705003520	641970176	705163264	1001627883	6336968
30	64/5fa5ca	14373435	blast (8)	COMPLETED	0	2016-11-29 16:13:01.227	30.9s	2.8s	30.0%	141.1 MB	353.2 MB	154.2 MB	353.2 MB	33.4 KB	0	34	0	30921	2764	147992576	370319360	161710080	370335744	34153	0
31	29/a83235	14373437	blast (9)	COMPLETED	0	2016-11-29 16:13:01.313	30.9s	5.8s	77.1%	648.1 MB	789.6 MB	660.1 MB	789.6 MB	191.8 KB	0	55	0	30852	5757	679620608	827973632	692158464	827990016	196383	0
38	6f/6f8212	-	normExonerate (2)	COMPLETED	-	2016-11-29 16:13:32.187	16ms	1ms	-	-	-	-	-	-	-	-	-	16	1	-	-	-	-	-	-
34	b2/2efae6	14373898	exonerate (6)	COMPLETED	0	2016-11-29 16:13:30.381	30.8s	2.8s	23.0%	35.5 MB	69.1 MB	35.5 MB	69.2 MB	9.9 MB	244.3 KB	2578	69	30761	2767	37249024	72495104	37249024	72511488	10431001	250123
40	92/5706ea	-	normExonerate (3)	COMPLETED	-	2016-11-29 16:14:01.173	8ms	1ms	-	-	-	-	-	-	-	-	-	8	1	-	-	-	-	-	-
33	5e/4eb824	14373895	exonerate (5)	COMPLETED	0	2016-11-29 16:13:30.312	1m 2s	23.5s	60.6%	112.9 MB	166.3 MB	113.2 MB	166.5 MB	363.6 MB	4.9 MB	93403	1454	61825	23500	118419456	174391296	118689792	174571520	381295576	5152775
41	29/5ae89a	-	normExonerate (4)	COMPLETED	-	2016-11-29 16:14:32.158	10ms	1ms	-	-	-	-	-	-	-	-	-	10	1	-	-	-	-	-	-
35	37/8afd55	14373900	exonerate (7)	COMPLETED	0	2016-11-29 16:13:30.444	1m 2s	50.9s	110.2%	664.2 MB	704.2 MB	664.2 MB	704.2 MB	638 MB	2.8 MB	164153	904	61721	50863	696483840	738361344	696483840	738377728	668979228	2964963
42	b2/92210d	-	normExonerate (5)	COMPLETED	-	2016-11-29 16:14:32.184	26ms	1ms	-	-	-	-	-	-	-	-	-	26	1	-	-	-	-	-	-
