task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
2	f3/337a1d	13606584	fastqToSsake (2)	COMPLETED	0	2016-11-26 14:27:42.361	30.7s	14s	94.6%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	53.2 MB	11.3 MB	7874	23281	30674	13987	1680240640	35048312832	1680240640	35114369024	55732337	11828270
3	18/3f2a70	13606585	fastqToSsake (3)	COMPLETED	0	2016-11-26 14:27:42.421	30.7s	14.3s	90.6%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	54.9 MB	11.4 MB	8099	23441	30677	14341	1694490624	35048312832	1694490624	35114369024	57573892	11908822
6	35/e445fe	13606588	fastqToSsake (6)	COMPLETED	0	2016-11-26 14:27:42.601	30.6s	13.9s	97.7%	1.6 GB	32.6 GB	1.6 GB	32.6 GB	54.2 MB	11.3 MB	8004	23290	30608	13900	1695830016	35048312832	1695830016	35048955904	56799086	11838384
4	58/ca80b9	13606589	fastqToSsake (4)	COMPLETED	0	2016-11-26 14:27:42.665	30.6s	14.5s	99.0%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	57.8 MB	10.9 MB	8475	22494	30645	14451	1749016576	35048312832	1750581248	35114369024	60655272	11431018
8	f8/ed2c5c	13606590	fastqToSsake (8)	COMPLETED	0	2016-11-26 14:27:42.737	30.7s	19.1s	99.6%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	68.3 MB	16.7 MB	9817	34477	30665	19064	1811484672	35048312832	1812860928	35114369024	71652427	17509750
13	3d/90714b	13606583	interleave (5)	COMPLETED	0	2016-11-26 14:27:42.295	1m 2s	20.7s	95.4%	1016.8 MB	32.8 GB	1016.8 MB	32.8 GB	47.5 MB	38 MB	7239	78678	61717	20747	1066147840	35184635904	1066147840	35185000448	49830917	39889178
1	b5/ad36a0	13606586	fastqToSsake (1)	COMPLETED	0	2016-11-26 14:27:42.480	1m 2s	16.7s	95.3%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	64.7 MB	19.9 MB	9354	41106	61549	16686	1780264960	35048312832	1781403648	35114369024	67856095	20902308
7	20/478740	13606587	fastqToSsake (7)	COMPLETED	0	2016-11-26 14:27:42.540	1m 2s	16.6s	99.6%	1.7 GB	32.6 GB	1.7 GB	32.7 GB	61.9 MB	17.9 MB	8995	36912	61502	16605	1776582656	35048312832	1778618368	35114369024	64913515	18764456
5	03/594f5b	13606591	fastqToSsake (5)	COMPLETED	0	2016-11-26 14:27:42.810	1m 31s	14.9s	98.9%	1.6 GB	32.6 GB	1.6 GB	32.7 GB	58.8 MB	10.3 MB	8603	21356	91215	14852	1753894912	35048312832	1756987392	35114369024	61705403	10849320
11	a6/21c999	13606592	interleave (3)	COMPLETED	0	2016-11-26 14:27:42.881	1m 31s	22.6s	99.5%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	56.7 MB	52.4 MB	8417	108362	91163	22569	1431191552	35184635904	1431191552	35251769344	59486143	54965590
10	a4/2e3d51	13606593	interleave (2)	COMPLETED	0	2016-11-26 14:27:42.949	1m 31s	25.1s	99.1%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	60 MB	51.7 MB	8840	106846	91193	25118	1451372544	35184635904	1451372544	35251769344	62950068	54177802
9	7d/93599e	13606594	interleave (1)	COMPLETED	0	2016-11-26 14:27:43.012	1m 31s	21.5s	99.8%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	54.8 MB	51.7 MB	8173	106837	91213	21518	1382858752	35184635904	1382858752	35251769344	57483402	54165794
12	1c/a20092	13606595	interleave (4)	COMPLETED	0	2016-11-26 14:27:43.081	1m 31s	23s	101.0%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	57.3 MB	52.4 MB	8489	108393	91226	23027	1433677824	35184635904	1433677824	35251769344	60073777	54954004
14	24/343320	13606596	interleave (6)	COMPLETED	0	2016-11-26 14:27:43.150	1m 31s	21.5s	92.7%	1 GB	32.8 GB	1 GB	32.8 GB	47.8 MB	37.7 MB	7279	77953	91170	21503	1089433600	35184635904	1091530752	35251769344	50159786	39517850
15	d5/b855f8	13606599	interleave (7)	COMPLETED	0	2016-11-26 14:27:43.201	1m 31s	23.9s	100.0%	1.3 GB	32.8 GB	1.3 GB	32.8 GB	58.8 MB	52.1 MB	8681	107711	91243	23921	1447981056	35184635904	1447981056	35251769344	61646388	54613512
16	f5/6fc885	13606601	interleave (8)	COMPLETED	0	2016-11-26 14:27:43.285	1m 31s	27.1s	99.5%	1.4 GB	32.8 GB	1.4 GB	32.8 GB	68.2 MB	64.8 MB	9879	134084	91242	27057	1493405696	35184635904	1493405696	35251769344	71460937	67995388
22	c7/3fc65e	13606858	alignReads (1)	COMPLETED	0	2016-11-26 14:28:44.169	30.5s	33ms	0.0%	1.2 MB	11.1 MB	0	0	27.1 KB	242 B	61	4	30450	33	1294336	11624448	0	0	27725	242
17	81/6e4d7a	13606722	reformat (1)	COMPLETED	0	2016-11-26 14:28:13.165	1m 32s	9.9s	89.6%	3.1 MB	28 MB	3.1 MB	28 MB	135.2 MB	132 MB	19949	16745	91866	9936	3248128	29310976	3248128	29360128	141786565	138412032
18	01/1815a3	13606723	reformat (2)	COMPLETED	0	2016-11-26 14:28:13.273	1m 32s	12.8s	96.5%	3.1 MB	28 MB	3.1 MB	28 MB	200.2 MB	196.3 MB	29533	24851	91774	12787	3256320	29310976	3256320	29360128	209972677	205832192
19	21/6e1b39	13606724	reformat (3)	COMPLETED	0	2016-11-26 14:28:13.375	1m 32s	10s	89.9%	3.1 MB	28 MB	3.1 MB	28 MB	137.4 MB	134 MB	20286	17017	91758	9989	3256320	29310976	3256320	29360128	144022981	140541952
20	04/d037f2	13606725	reformat (4)	COMPLETED	0	2016-11-26 14:28:13.448	1m 32s	10.3s	90.0%	3.1 MB	28 MB	3.1 MB	28 MB	147.4 MB	143.8 MB	21860	18314	91701	10269	3248128	29310976	3248128	29360128	154545605	150831104
21	a5/18e62d	13606726	reformat (5)	COMPLETED	0	2016-11-26 14:28:13.532	1m 32s	16.3s	99.0%	3.1 MB	28 MB	3.1 MB	28 MB	200 MB	196 MB	29500	24812	91699	16326	3239936	29310976	3239936	29360128	209751493	205488128
23	e3/bf26ec	13606859	reformat (6)	COMPLETED	0	2016-11-26 14:28:44.236	1m 1s	14.5s	99.0%	3.1 MB	28 MB	3.1 MB	28 MB	209.1 MB	205.1 MB	30799	25930	61133	14461	3256320	29310976	3256320	29360128	219258309	215023616
26	15/0e8af8	13606986	alignReads (2)	COMPLETED	0	2016-11-26 14:29:14.208	31.2s	30ms	0.0%	1.3 MB	11.1 MB	0	0	0	0	0	0	31230	30	1323008	11624448	0	0	0	0
27	61/00241c	13606987	alignReads (3)	COMPLETED	0	2016-11-26 14:29:14.291	31.2s	32ms	0.0%	1.2 MB	11.1 MB	0	0	27.1 KB	242 B	61	4	31219	32	1290240	11624448	0	0	27725	242
28	5b/c525ca	13606988	alignReads (4)	COMPLETED	0	2016-11-26 14:29:14.358	31.2s	27ms	0.0%	1.3 MB	11.1 MB	0	0	0	0	0	0	31171	27	1318912	11624448	0	0	0	0
29	de/b483a8	13606989	alignReads (5)	COMPLETED	0	2016-11-26 14:29:14.426	31.1s	5ms	-	-	-	-	-	-	-	-	-	31125	5	-	-	-	-	-	-
30	aa/99371c	13606990	alignReads (6)	COMPLETED	0	2016-11-26 14:29:14.510	31.1s	32ms	0.0%	1.2 MB	11.1 MB	0	0	0	0	0	0	31061	32	1290240	11624448	0	0	0	0
31	13/61ddcc	13606991	alignReads (7)	COMPLETED	0	2016-11-26 14:29:14.591	31s	33ms	0.0%	1.2 MB	11.1 MB	0	0	0	0	0	0	31005	33	1290240	11624448	0	0	0	0
24	16/cf6dc0	13606860	reformat (7)	COMPLETED	0	2016-11-26 14:28:44.303	1m 31s	11.4s	80.6%	3.1 MB	28 MB	3.1 MB	28 MB	142.2 MB	138.8 MB	21058	17652	90739	11365	3248128	29310976	3248128	29360128	149110213	145588224
25	5f/7457ec	13606985	reformat (8)	COMPLETED	0	2016-11-26 14:29:14.126	1m 2s	13.1s	92.3%	3.1 MB	28 MB	3.1 MB	28 MB	223.6 MB	219.1 MB	33187	27858	61912	13054	3256320	29310976	3256320	29360128	234429893	229720064
32	49/31b1b6	13606992	alignReads (8)	COMPLETED	0	2016-11-26 14:29:14.669	1m 31s	5ms	-	-	-	-	-	-	-	-	-	91379	5	-	-	-	-	-	-
35	64/1840e7	13607126	ssake (3)	COMPLETED	0	2016-11-26 14:29:45.286	1h 37m 34s	1h 36m 47s	99.5%	809.3 MB	849.9 MB	809.8 MB	850.4 MB	101.5 MB	133.4 MB	23154	595189	5853662	5806563	848629760	891158528	849084416	891723776	106408550	139850321
33	4a/0c54e7	13607124	ssake (1)	COMPLETED	0	2016-11-26 14:29:45.116	1h 41m 3s	1h 40m 16s	102.0%	833.8 MB	876.2 MB	837.8 MB	880.3 MB	106.9 MB	131.3 MB	24593	582936	6062831	6016119	874287104	918814720	878485504	923062272	112126106	137675303
41	32/73c4f0	13631108	alignContigs (1)	COMPLETED	0	2016-11-26 16:07:19.104	4m 31s	32ms	0.0%	1.3 MB	11.1 MB	0	0	0	0	0	0	270859	32	1318912	11624448	0	0	0	0
42	4c/37d712	13632024	alignContigs (2)	COMPLETED	0	2016-11-26 16:10:48.034	1m 30s	28ms	0.0%	1.3 MB	11.1 MB	0	0	0	0	0	0	90111	28	1318912	11624448	0	0	0	0
34	6e/86ea00	13607125	ssake (2)	COMPLETED	0	2016-11-26 14:29:45.215	1h 44m 4s	1h 43m 25s	99.5%	846.9 MB	889.3 MB	846.9 MB	889.4 MB	111.6 MB	133.8 MB	25632	600806	6243769	6205429	887992320	932544512	887992320	932593664	116980239	140258432
43	6d/b66781	13632829	alignContigs (3)	COMPLETED	0	2016-11-26 16:13:49.178	1m 31s	34ms	0.0%	1.2 MB	11.1 MB	0	0	27.1 KB	242 B	61	4	90830	34	1290240	11624448	0	0	27783	242
36	5b/1065e9	13607127	ssake (4)	COMPLETED	0	2016-11-26 14:29:45.356	1h 53m 34s	1h 52m 53s	101.0%	797.7 MB	838.3 MB	797.7 MB	838.3 MB	118 MB	142.4 MB	27379	663879	6813745	6773144	836464640	879046656	836464640	879071232	123769829	149349728
40	7e/706559	13607261	ssake (8)	COMPLETED	0	2016-11-26 14:30:16.178	1h 58m 3s	1h 57m 24s	101.0%	832.6 MB	875 MB	832.6 MB	875.1 MB	123 MB	143.8 MB	28655	673029	7082975	7044232	872996864	917524480	872996864	917573632	128928872	150754835
44	19/8d9d36	13635253	alignContigs (4)	COMPLETED	0	2016-11-26 16:23:19.181	5m 31s	4ms	-	-	-	-	-	-	-	-	-	330956	4	-	-	-	-	-	-
45	f3/72c264	13636514	alignContigs (5)	COMPLETED	0	2016-11-26 16:28:19.230	30.9s	37ms	0.0%	1.1 MB	11.1 MB	0	0	22.4 KB	226 B	47	3	30923	37	1118208	11624448	0	0	22912	226
38	b5/8024ca	13607131	ssake (6)	COMPLETED	0	2016-11-26 14:29:45.494	2h 21m 5s	2h 20m 29s	100.0%	938.9 MB	981.3 MB	946.9 MB	989.4 MB	130 MB	158 MB	29744	707032	8464822	8429422	984473600	1028972544	992870400	1037418496	136340454	165675055
