task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	86/e6bdac	13369453	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-25 22:41:14.049	1h 24m 3s	1h 23m 16s	99.4%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5042634	4995769	4829310976	4980105216	4935991296	4980928512	10832504233	3605641021	41493	372289	2712735744	3606081536
4	d4/b82a76	13390462	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-26 00:05:17.206	2h 7m 3s	2h 6m 12s	797.0%	5.7 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7623339	7572202	6164107264	7522480128	6257410048	7616606208	141958962822	58974957014	28612332	96227314	7343640576	11805925376
6	b5/423567	13422329	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-26 02:12:20.825	5m 2s	4m 16s	424.0%	543.6 MB	1.2 GB	1 GB	1.8 GB	3.1 GB	185 MB	301797	256391	570007552	1292079104	1099878400	1963196416	3364872495	194006049	355072	269562	1469583360	194150400
5	b7/a89b32	13390461	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-26 00:05:17.127	2h 14m 3s	2h 13m 27s	795.4%	5.2 GB	6.2 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	8043487	8006885	5586722816	6615953408	5591740416	6680260608	145706835515	62050775270	29099946	96851490	7430463488	12527153152
7	d5/495e2d	13424083	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-26 02:19:20.716	5m 1s	4m 25s	419.0%	829.4 MB	1.4 GB	1 GB	1.6 GB	3.3 GB	180.9 MB	300934	265279	869642240	1469284352	1089159168	1691086848	3505208721	189718772	363364	262582	1545216000	189853696
2	71/46a61c	13390460	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-26 00:05:17.051	2h 21m 35s	2h 20m 49s	795.0%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.5 GB	75 GB	8494663	8449323	6829400064	8177410048	6833725440	8181878784	169060989558	80487719682	34531481	114982456	8155500544	18290757632
8	c7/4c5c35	13426083	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-26 02:26:51.855	6m 33s	5m 29s	386.0%	725.4 MB	1.2 GB	1 GB	1.6 GB	4.6 GB	183 MB	392882	329369	760594432	1303089152	1106870272	1705766912	4952307102	191842750	455857	266006	2188427264	192004096
3	d7/4a8fc8	13390459	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-26 00:05:16.939	2h 35m 33s	2h 34m 48s	797.4%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.6 GB	9332840	9288272	6851887104	8203354112	6862446592	8214581248	179235466209	90880826176	45231695	148409241	7996006400	18059100160
9	3e/a8da6f	13429594	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-26 02:40:49.906	5m 58s	5m 18s	395.0%	814.3 MB	1.4 GB	1 GB	1.6 GB	4.1 GB	183.3 MB	357925	318204	853811200	1489735680	1093722112	1691086848	4416026227	192199319	455583	266790	1489735680	192376832
