task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	0d/71c1b3	14393571	formatChr (8)	COMPLETED	0	2016-11-29 17:27:45.294	30.3s	8.6s	79.0%	295.7 MB	308.9 MB	297.6 MB	310.9 MB	880.8 MB	880.8 MB	113010	225496	30307	8553	310075392	323915776	312094720	325963776	923573791	923562708
2	26/de7869	14393572	formatBlast (2)	COMPLETED	0	2016-11-29 17:27:45.348	1m 1s	47.7s	98.3%	602.4 MB	649.6 MB	817.7 MB	865.2 MB	1.7 GB	424.2 MB	55696	6576	61210	47695	631635968	681193472	857423872	907186176	1823572584	444793110
5	c7/1eec10	14393574	formatBlast (5)	COMPLETED	0	2016-11-29 17:27:45.425	1m 1s	28.3s	99.9%	388.4 MB	503.6 MB	526.6 MB	643.3 MB	993.4 MB	244.5 MB	31833	1162	61151	28283	407302144	528076800	552230912	674553856	1041629784	256368045
15	89/a22d27	14393570	formatChr (6)	COMPLETED	0	2016-11-29 17:27:45.237	1m 2s	22s	68.0%	319.3 MB	332.5 MB	320.5 MB	333.7 MB	2.1 GB	1 GB	397618	279318	62315	21998	334823424	348659712	336076800	349941760	2238749533	1080599033
7	37/8c78a9	14393577	formatBlast (7)	COMPLETED	0	2016-11-29 17:27:45.617	1m 31s	31.3s	96.4%	89.2 MB	160.4 MB	116.2 MB	187.5 MB	961.1 MB	236.3 MB	30801	393	91096	31298	93560832	168239104	121851904	196603904	1007813198	247815612
11	28/ca837d	14393568	formatChr (2)	COMPLETED	0	2016-11-29 17:27:45.129	1m 32s	27.2s	79.1%	322.8 MB	336 MB	324.8 MB	338.1 MB	3.1 GB	1.7 GB	505911	462232	92438	27245	338468864	352313344	340606976	354476032	3294630167	1830073205
3	44/2064cf	14393575	formatBlast (3)	COMPLETED	0	2016-11-29 17:27:45.491	2m 2s	1m 16s	99.5%	83.6 MB	135.8 MB	105.4 MB	157.4 MB	2.4 GB	614.1 MB	78358	7691	122076	75936	87633920	142446592	110481408	165064704	2566161028	643952533
9	b3/ce239b	14393576	formatBlast (9)	COMPLETED	0	2016-11-29 17:27:45.554	2m 2s	37.6s	108.0%	294.4 MB	463.5 MB	459.7 MB	610.9 MB	1.1 GB	226.4 MB	34888	70	122032	37560	308719616	486031360	481996800	640614400	1141736044	237379413
6	fa/4ce884	14393580	formatBlast (6)	COMPLETED	0	2016-11-29 17:27:45.762	2m 2s	30.5s	96.4%	375.1 MB	478.4 MB	562.3 MB	665.9 MB	938.5 MB	229.7 MB	30078	67	121843	30520	393314304	501604352	589590528	698224640	984121950	240821633
4	65/a724ec	14393582	formatBlast (4)	COMPLETED	0	2016-11-29 17:27:45.826	2m 2s	30.2s	100.0%	81.7 MB	142 MB	94.7 MB	155.2 MB	964 MB	235 MB	30893	3046	121890	30200	85704704	148897792	99340288	162693120	1010827882	246396253
