task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	ca/4c94e8	14399751	formatChr (8)	COMPLETED	0	2016-11-29 17:59:31.470	30.3s	9.8s	65.1%	242 MB	255.2 MB	244.4 MB	257.6 MB	721.9 MB	721.9 MB	92625	184813	30314	9772	253714432	267550720	256225280	270090240	756946830	756935571
4	5b/3d15da	14399753	formatBlast (4)	COMPLETED	0	2016-11-29 17:59:31.601	1m 1s	29s	95.2%	390.2 MB	503.6 MB	529.1 MB	643.3 MB	973.5 MB	219.6 MB	31197	62	61144	29034	409169920	528076800	554762240	674553856	1020789392	230269455
7	4d/f5bc53	14399755	formatBlast (7)	COMPLETED	0	2016-11-29 17:59:31.740	1m 1s	30.1s	95.0%	90.2 MB	160.4 MB	117.1 MB	187.5 MB	1005.8 MB	247.9 MB	32230	587	61022	30068	94584832	168239104	122765312	196603904	1054638670	259971735
6	7c/4687ec	14399757	formatBlast (6)	COMPLETED	0	2016-11-29 17:59:31.870	1m 1s	31.1s	95.0%	371.7 MB	478.4 MB	558.9 MB	665.9 MB	928.8 MB	215.8 MB	29766	62	60907	31129	389763072	501604352	586010624	698224640	973898334	226244808
15	de/e0488c	14399750	formatChr (6)	COMPLETED	0	2016-11-29 17:59:31.408	1m 32s	21.2s	62.4%	306.1 MB	319.3 MB	308.9 MB	322.1 MB	2.1 GB	1 GB	323970	275542	92343	21212	320929792	334774272	323854336	337723392	2202505546	1080453514
19	db/e994a5	14399989	blast (1)	COMPLETED	0	2016-11-29 18:00:32.837	30.9s	4.7s	74.0%	273.5 MB	441.2 MB	332.4 MB	581 MB	192.8 KB	1.1 KB	56	2	30940	4740	286769152	462659584	348524544	609198080	197463	1174
2	0e/7bc247	14399754	formatBlast (2)	COMPLETED	0	2016-11-29 17:59:31.675	2m 2s	49.1s	95.7%	602.4 MB	649.6 MB	817.8 MB	865.2 MB	1.7 GB	415.5 MB	54188	6566	122081	49059	631640064	681193472	857509888	907186176	1774158440	435690349
3	3a/2570b2	14399756	formatBlast (3)	COMPLETED	0	2016-11-29 17:59:31.807	2m 2s	1m 32s	96.7%	97.9 MB	148.8 MB	106.6 MB	157.4 MB	2.3 GB	593.8 MB	76109	7103	121967	92431	102674432	156020736	111788032	165064704	2492465796	622645185
8	10/d05694	14399758	formatBlast (8)	COMPLETED	0	2016-11-29 17:59:31.935	2m 2s	59.2s	97.1%	63.2 MB	112.6 MB	75 MB	124.6 MB	2.1 GB	515.3 MB	67273	4880	121934	59206	66306048	118120448	78659584	130662400	2202927722	540331364
9	36/ab1033	14399762	formatBlast (9)	COMPLETED	0	2016-11-29 17:59:32.224	2m 2s	34.7s	96.1%	326.9 MB	463.5 MB	532.4 MB	681.9 MB	1.1 GB	226.4 MB	36518	71	121725	34652	342822912	486031360	558215168	714977280	1195147884	237383687
5	a6/9c062a	14399763	formatBlast (5)	COMPLETED	0	2016-11-29 17:59:32.285	2m 2s	30.5s	95.2%	79.2 MB	138.6 MB	95.5 MB	155.2 MB	949.8 MB	230.9 MB	30438	3045	121742	30526	83046400	145367040	100126720	162693120	995918442	242068576
1	cf/b492bb	14399765	formatBlast (1)	COMPLETED	0	2016-11-29 17:59:32.355	2m 2s	36.1s	99.4%	27.8 MB	73.4 MB	39.2 MB	87.1 MB	1.1 GB	275.7 MB	34510	5312	121686	36053	29110272	76967936	41103360	91373568	1129264342	289123445
10	da/015206	14399747	formatChr (2)	COMPLETED	0	2016-11-29 17:59:31.216	2m 32s	29.1s	93.2%	528.3 MB	541.5 MB	530.7 MB	543.9 MB	2.9 GB	1.7 GB	476142	460984	151542	29065	553926656	567767040	556470272	570335232	3096771545	1830020831
