task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
13	f8/570309	14384428	formatChr (4)	COMPLETED	0	2016-11-29 16:41:05.363	3m 31s	1m 33s	95.6%	348.7 MB	361.9 MB	350.2 MB	363.5 MB	1.4 GB	1.1 GB	947072	336754	211382	93194	365613056	379457536	367263744	381136896	1457328778	1138779758
18	e2/ed9d88	14384425	formatChr (9)	COMPLETED	0	2016-11-29 16:41:05.153	3m 33s	1m 36s	70.0%	228.5 MB	241.7 MB	230.9 MB	244.1 MB	2.5 GB	1.1 GB	1143320	344013	212549	95682	239583232	253423616	242110464	255979520	2632918820	1140100528
26	93/caa603	14385115	exonerate (1)	COMPLETED	0	2016-11-29 16:43:37.928	1m 2s	38.2s	147.1%	611.5 MB	671.7 MB	611.7 MB	671.9 MB	955.5 MB	6.1 MB	244957	1812	61773	38219	641163264	704339968	641433600	704491520	1001945834	6420119
30	f2/3f8f5a	14385144	blast (8)	COMPLETED	0	2016-11-29 16:44:08.790	30.9s	5.1s	24.0%	125.4 MB	335.9 MB	137.2 MB	335.9 MB	33.4 KB	0	34	0	30938	5062	131465216	352174080	143855616	352190464	34153	0
36	4f/407618	-	normExonerate (2)	COMPLETED	-	2016-11-29 16:44:39.735	19ms	1ms	-	-	-	-	-	-	-	-	-	19	1	-	-	-	-	-	-
31	ba/29ef77	14385145	blast (9)	COMPLETED	0	2016-11-29 16:44:08.875	30.9s	6.2s	79.8%	579.6 MB	789.6 MB	650.6 MB	789.6 MB	191.8 KB	0	55	0	30877	6239	607719424	827973632	682176512	827990016	196383	0
33	a5/e59528	14385223	exonerate (5)	COMPLETED	0	2016-11-29 16:44:36.823	31s	3.2s	23.0%	35.5 MB	69.1 MB	35.5 MB	69.2 MB	9.9 MB	244.3 KB	2579	69	30990	3246	37249024	72495104	37249024	72511488	10431001	250123
40	e2/8d6d0a	-	normExonerate (3)	COMPLETED	-	2016-11-29 16:45:07.849	9ms	0ms	-	-	-	-	-	-	-	-	-	9	0	-	-	-	-	-	-
34	37/0d7ee3	14385230	exonerate (6)	COMPLETED	0	2016-11-29 16:44:37.181	1m 2s	22.8s	55.7%	116.5 MB	169.8 MB	117.1 MB	170.1 MB	366.2 MB	5.1 MB	94156	1527	61529	22774	122204160	178073600	122744832	178401280	383994263	5394516
41	d7/72e3a5	-	normExonerate (4)	COMPLETED	-	2016-11-29 16:45:38.732	9ms	1ms	-	-	-	-	-	-	-	-	-	9	1	-	-	-	-	-	-
35	61/20c994	14385239	exonerate (7)	COMPLETED	0	2016-11-29 16:44:37.881	1m 1s	28s	49.0%	141.5 MB	175.9 MB	141.5 MB	175.9 MB	538.6 MB	6.3 MB	138279	1868	60858	27955	148328448	184455168	148328448	184471552	564711583	6643260
42	69/c1eaf6	-	normExonerate (5)	COMPLETED	-	2016-11-29 16:45:38.780	7ms	0ms	-	-	-	-	-	-	-	-	-	7	0	-	-	-	-	-	-
37	80/9a9649	14385275	exonerate (8)	COMPLETED	0	2016-11-29 16:44:40.459	1m	36.8s	106.1%	408.9 MB	464.6 MB	409.2 MB	464.9 MB	133.3 MB	331.4 KB	34793	148	60249	36793	428802048	487182336	429047808	487526400	139796438	339376
43	2e/3c374e	-	normExonerate (6)	COMPLETED	-	2016-11-29 16:45:40.725	6ms	1ms	-	-	-	-	-	-	-	-	-	6	1	-	-	-	-	-	-
29	ef/13345f	14385118	exonerate (4)	COMPLETED	0	2016-11-29 16:43:39.045	3m 32s	3m 18s	88.8%	706.8 MB	764.2 MB	706.8 MB	764.4 MB	1.4 GB	105.6 MB	370944	31475	211693	197953	741122048	801357824	741122048	801509376	1491306996	110759715
44	d0/053a91	-	normExonerate (7)	COMPLETED	-	2016-11-29 16:47:10.753	12ms	11ms	-	-	-	-	-	-	-	-	-	12	11	-	-	-	-	-	-
39	28/957bce	14385283	exonerate (10)	COMPLETED	0	2016-11-29 16:44:40.990	3m 1s	2m 31s	96.6%	676.6 MB	735 MB	676.6 MB	735.2 MB	1.1 GB	52.9 MB	307779	16176	180741	151441	709455872	770719744	709455872	770899968	1216194651	55501221
45	b8/213006	-	normExonerate (8)	COMPLETED	-	2016-11-29 16:47:41.748	13ms	0ms	-	-	-	-	-	-	-	-	-	13	0	-	-	-	-	-	-
28	65/26a645	14385117	exonerate (3)	COMPLETED	0	2016-11-29 16:43:38.977	4m 32s	3m 51s	80.1%	702.9 MB	761.4 MB	702.6 MB	761.3 MB	1.4 GB	98.2 MB	360558	29497	271771	231414	737009664	798351360	736776192	798232576	1456153412	103001147
46	8b/0d4125	-	normExonerate (9)	COMPLETED	-	2016-11-29 16:48:10.765	8ms	1ms	-	-	-	-	-	-	-	-	-	8	1	-	-	-	-	-	-
38	b8/d63bbc	14385277	exonerate (9)	COMPLETED	0	2016-11-29 16:44:40.573	4m 1s	3m 25s	108.6%	692.5 MB	751.6 MB	692.8 MB	751.8 MB	1.4 GB	110.8 MB	371284	33667	241174	205361	726159360	788148224	726409216	788328448	1475753271	116181623
47	6e/7ac1b3	-	normExonerate (10)	COMPLETED	-	2016-11-29 16:48:41.766	11ms	1ms	-	-	-	-	-	-	-	-	-	11	1	-	-	-	-	-	-
12	19/e6faf5	14384427	formatChr (3)	COMPLETED	0	2016-11-29 16:41:05.296	10m 31s	5m 28s	82.8%	347.3 MB	360.5 MB	348.9 MB	362.1 MB	2.4 GB	1.1 GB	3180236	500404	631492	327807	364191744	378028032	365842432	379707392	2523349239	1136105114
11	d0/1ba862	14384429	formatChr (2)	COMPLETED	0	2016-11-29 16:41:05.420	11m 31s	5m 45s	64.5%	689.6 MB	702.7 MB	690.5 MB	703.7 MB	5.9 GB	2.5 GB	3507017	864004	691365	345147	723075072	736800768	724074496	737832960	6368578071	2648576035
49	ee/225f98	14387076	exonerate (12)	COMPLETED	0	2016-11-29 16:52:36.925	30.9s	6s	44.0%	54.7 MB	87.6 MB	54.7 MB	87.6 MB	128.1 MB	2.3 MB	33001	685	30930	6013	57331712	91824128	57331712	91840512	134373810	2420195
50	0f/c252a0	-	normExonerate (11)	COMPLETED	-	2016-11-29 16:53:07.872	7ms	1ms	-	-	-	-	-	-	-	-	-	7	1	-	-	-	-	-	-
48	26/98bed9	14386797	exonerate (11)	COMPLETED	0	2016-11-29 16:51:36.914	2m 1s	1m 14s	81.5%	36.9 MB	89.6 MB	36.9 MB	89.7 MB	669.9 MB	51.7 MB	175759	15486	120872	74210	38735872	93966336	38735872	94101504	702464084	54186868
