task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	de/48c656	13336059	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-25 18:36:19.084	1h 23m 3s	1h 21m 58s	98.9%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	4982596	4917852	4829188096	4980105216	4935999488	4980928512	10832501957	3625858877	41493	374757	2713661440	3626201088
4	96/5ef856	13345797	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 19:59:22.109	2h 6m 2s	2h 5m 21s	793.1%	5.7 GB	7 GB	5.8 GB	7.1 GB	132.3 GB	54.9 GB	7562409	7520579	6161690624	7506325504	6267416576	7612907520	142006246029	58977344979	29192625	96266997	4636901376	11808010240
6	fa/10e155	13363040	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 22:05:24.692	5m 1s	4m 14s	426.0%	782.9 MB	1.4 GB	1.1 GB	1.8 GB	3.1 GB	184.1 MB	300861	254318	820948992	1512280064	1177821184	1967394816	3360914389	193063134	354592	268319	1469698048	193167360
5	db/1a7f9e	13345795	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 19:59:21.973	2h 12m 34s	2h 12m 8s	808.9%	5.2 GB	6.1 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	7953636	7927948	5614874624	6572048384	5620252672	6636314624	145703584534	62047502565	29701787	96856994	7431745536	12523794432
7	5a/d2aac8	13364059	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 22:11:55.714	5m 2s	4m 24s	423.0%	646.1 MB	1.2 GB	1 GB	1.6 GB	3.3 GB	184.8 MB	301893	264438	677502976	1240170496	1087275008	1709957120	3535205855	193735390	366786	269050	1545330688	193806336
2	63/2cb6d7	13345796	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 19:59:22.040	2h 21m 34s	2h 20m 48s	794.0%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.4 GB	75 GB	8493602	8447636	6833926144	8177303552	6838251520	8181772288	169060444175	80487711497	34892871	114981416	8156782592	18290814976
8	3c/8224b3	13365379	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 22:20:55.779	6m 1s	5m 26s	387.0%	1 GB	1.5 GB	1 GB	1.8 GB	4.6 GB	183.6 MB	360926	326303	1097748480	1657511936	1109725184	1925967872	4958012619	192492979	456398	267082	2188541952	192557056
3	61/7d6e9d	13345794	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 19:59:21.912	2h 35m 35s	2h 34m 52s	794.0%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.7 GB	9334889	9292022	6858973184	8203247616	6869258240	8214474752	179249660941	90895159731	46382129	148348763	7997419520	18073305088
9	c0/b68db1	13367835	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 22:34:57.006	6m 1s	5m 23s	389.0%	851 MB	1.3 GB	1 GB	1.5 GB	4.1 GB	181.1 MB	360814	323482	892309504	1437831168	1094103040	1644949504	4393696733	189871701	453101	262753	1974681600	189988864
