task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	ef/a06167	13238429	buildIndex (mouse_genome_mm9)	COMPLETED	0	2016-11-25 06:18:14.006	1h 24m 3s	1h 23m 15s	99.4%	4.5 GB	4.6 GB	4.6 GB	4.6 GB	10.1 GB	3.4 GB	5042657	4995191	4828868608	4980109312	4935737344	4980932608	10832504233	3614168893	41493	373330	2712731648	3614593024
4	14/560e29	13254938	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 07:42:17.141	2h 6m 36s	2h 6m 6s	795.1%	5.7 GB	7 GB	5.8 GB	7.1 GB	132.2 GB	54.9 GB	7596244	7565548	6162522112	7520350208	6255955968	7614619648	141974849947	58980928980	28870522	96236906	7343640576	11811913728
6	45/a99811	13267685	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep1)	COMPLETED	0	2016-11-25 09:48:53.501	5m 1s	4m 16s	426.0%	652 MB	1.2 GB	1 GB	1.8 GB	3.1 GB	185 MB	300906	256423	683716608	1292079104	1109192704	1947275264	3364872490	194006049	355071	269562	1469583360	194121728
5	5b/09ea0d	13254936	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 07:42:16.985	2h 14m 2s	2h 13m 15s	794.5%	5.2 GB	6.2 GB	5.2 GB	6.2 GB	135.7 GB	57.8 GB	8042442	7995416	5584379904	6615498752	5592641536	6680600576	145708867603	62052835561	29197172	96851753	7430463488	12529192960
7	2b/5033d2	13268306	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep1)	COMPLETED	0	2016-11-25 09:56:19.523	5m 2s	4m 27s	420.0%	740.3 MB	1.3 GB	1 GB	1.6 GB	3.3 GB	184.8 MB	301952	267003	776302592	1355517952	1096216576	1691086848	3535521234	193758844	366829	269104	1545216000	193863680
2	cc/304f95	13254937	mapping (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 07:42:17.064	2h 21m 34s	2h 20m 40s	795.8%	6.4 GB	7.6 GB	6.4 GB	7.6 GB	157.4 GB	74.9 GB	8494423	8439922	6829158400	8177410048	6833487872	8181878784	169049658125	80476848261	34598641	114995798	8155500544	18280112128
8	43/79b3d8	13268782	makeTranscript (wgEncodeCshlLongRnaSeqCnsE18Rep2)	COMPLETED	0	2016-11-25 10:03:51.580	6m 1s	5m 29s	386.0%	598.8 MB	1 GB	1 GB	1.6 GB	4.6 GB	183 MB	361044	329126	627920896	1110155264	1107968000	1714151424	4953091965	191921561	455927	266163	2188427264	192086016
3	b0/81fa0a	13254935	mapping (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 07:42:16.885	2h 35m 37s	2h 34m 46s	796.2%	6.4 GB	7.6 GB	6.4 GB	7.7 GB	166.9 GB	84.7 GB	9336739	9285735	6852993024	8203354112	6863409152	8214581248	179249663603	90895155620	46117296	148348467	7996149760	18073436160
9	a0/4a28a5	13270008	makeTranscript (wgEncodeCshlLongRnaSeqCnsE14Rep2)	COMPLETED	0	2016-11-25 10:17:53.735	5m 54s	5m 21s	392.0%	706.3 MB	1.2 GB	1 GB	1.6 GB	4.1 GB	180.6 MB	353905	321381	740618240	1280012288	1100001280	1691086848	4389137363	189378864	452593	262009	1974575104	189534208
